,Date :,5/27/2021 16:46,,,,,,,,,,,
,Motion Threshold (au):,15,,,,,,,,,,,
,Detection Method:,Linear,,,,,,,,,,,
,Min Freeze Duration (f):,10,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Component Details,,,,,,,,,,,,
,Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
,White House Light, 0:00:00.000,300,0,9000,,,,,,,,
,,,,,,,,,,,,,
Animal ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
,VF111720_084145,,Chamber1,,,White House Light,1,300,100,100,0,0,2
,,,,,,,,,,,,,
201026_1,VF111720_084229_102620_1_D1,,Chamber1,,,White House Light,29,285.633,95.21,95.21,9.77,0,71334
,,,,,,,,,,,,,
201026_2,VF111720_085552_102620_2_D1,,Chamber1,,,White House Light,44,278.567,92.86,92.86,10.33,0,69243
,,,,,,,,,,,,,
201026_3,VF111720_090204_102620_3_D1,,Chamber1,,,White House Light,50,263.6,87.87,87.87,11.76,0,71898
,,,,,,,,,,,,,
201026_4,VF111720_090920_102620_4_D1,,Chamber1,,,White House Light,97,237.8,79.27,79.27,17.91,0,73902
,,,,,,,,,,,,,
201026_5,VF111720_091540_102620_5_D1,,Chamber1,,,White House Light,13,291.3,97.1,97.1,10.08,0,75239
,,,,,,,,,,,,,
201026_6,VF111720_201026_6_D1,,Chamber1,,,White House Light,70,266.967,88.99,88.99,12.29,0,76202
,,,,,,,,,,,,,
,VF111720_201026_6_D1,,Chamber1,,,White House Light,70,266.967,88.99,88.99,12.29,0,76202
