,Date :,10/25/2021 11:53,,,,,,,,,,,
,Motion Threshold (au):,15,,,,,,,,,,,
,Detection Method:,Linear,,,,,,,,,,,
,Min Freeze Duration (f):,10,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Component Details,,,,,,,,,,,,
,Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
,Sound 1, 0:02:00.000,30,3600,900,,,,,,,,
,Sound 2, 0:04:02.000,30,7260,900,,,,,,,,
,Sound 3, 0:06:04.000,30,10920,900,,,,,,,,
,Shock 1, 0:02:30.000,2,4500,60,,,,,,,,
,Shock 2, 0:04:32.000,2,8160,60,,,,,,,,
,Shock 3, 0:06:34.000,2,11820,60,,,,,,,,
,,,,,,,,,,,,,
Animal_ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
211004_1,VF102521_100056,day0_trial1,Chamber1,,,Sound 1,6,2.7,0.52,9,81.61,0,435
211004_1,VF102521_100056,day0_trial1,Chamber1,,,Sound 2,9,16.2,3.14,54,21.3,0,242
211004_1,VF102521_100056,day0_trial1,Chamber1,,,Sound 3,8,25.133,4.87,83.78,5.21,0,221
211004_1,VF102521_100056,day0_trial1,Chamber1,,,Shock 1,0,0,0,0,393.37,83,1366
211004_1,VF102521_100056,day0_trial1,Chamber1,,,Shock 2,0,0,0,0,399.63,0,1359
211004_1,VF102521_100056,day0_trial1,Chamber1,,,Shock 3,0,0,0,0,281.07,3,1035
,,,,,,,,,,,,,
211004_2,VF102521_100056,day0_trial1,Chamber 2,,,Sound 1,1,0.4,0.08,1.33,318.71,0,1400
211004_2,VF102521_100056,day0_trial1,Chamber 2,,,Sound 2,10,9.8,1.9,32.67,168.08,0,1204
211004_2,VF102521_100056,day0_trial1,Chamber 2,,,Sound 3,9,25.967,5.03,86.56,4.47,0,225
211004_2,VF102521_100056,day0_trial1,Chamber 2,,,Shock 1,0,0,0,0,1051.77,232,2344
211004_2,VF102521_100056,day0_trial1,Chamber 2,,,Shock 2,0,0,0,0,996.37,108,2983
211004_2,VF102521_100056,day0_trial1,Chamber 2,,,Shock 3,0,0,0,0,1145.67,119,3813
,,,,,,,,,,,,,
211004_3,VF102521_101719,day0_trial2,Chamber1,,,Sound 1,8,7.5,1.45,25,50.8,0,509
211004_3,VF102521_101719,day0_trial2,Chamber1,,,Sound 2,5,9.567,1.85,31.89,31.32,0,289
211004_3,VF102521_101719,day0_trial2,Chamber1,,,Sound 3,9,27.533,5.34,91.78,2.1,0,166
211004_3,VF102521_101719,day0_trial2,Chamber1,,,Shock 1,0,0,0,0,474.07,11,1568
211004_3,VF102521_101719,day0_trial2,Chamber1,,,Shock 2,0,0,0,0,596.33,0,2574
211004_3,VF102521_101719,day0_trial2,Chamber1,,,Shock 3,0,0,0,0,608.73,1,2438
,,,,,,,,,,,,,
211004_5,VF102521_101719,day0_trial2,Chamber 2,,,Sound 1,1,0.4,0.08,1.33,292.35,0,1295
211004_5,VF102521_101719,day0_trial2,Chamber 2,,,Sound 2,10,8.867,1.72,29.56,101.01,0,1079
211004_5,VF102521_101719,day0_trial2,Chamber 2,,,Sound 3,11,11.433,2.22,38.11,51.24,0,841
211004_5,VF102521_101719,day0_trial2,Chamber 2,,,Shock 1,0,0,0,0,890.48,76,2428
211004_5,VF102521_101719,day0_trial2,Chamber 2,,,Shock 2,0,0,0,0,844.67,30,1893
211004_5,VF102521_101719,day0_trial2,Chamber 2,,,Shock 3,0,0,0,0,904.57,30,2471
,,,,,,,,,,,,,
211004_9,VF102521_102924,day0_trial3,Chamber1,,,Sound 1,7,4.167,0.81,13.89,61.36,0,507
211004_9,VF102521_102924,day0_trial3,Chamber1,,,Sound 2,18,24.767,4.8,82.56,4.02,0,173
211004_9,VF102521_102924,day0_trial3,Chamber1,,,Sound 3,6,27.2,5.27,90.67,1.76,0,40
211004_9,VF102521_102924,day0_trial3,Chamber1,,,Shock 1,0,0,0,0,532.65,28,1840
211004_9,VF102521_102924,day0_trial3,Chamber1,,,Shock 2,0,0,0,0,363.27,0,921
211004_9,VF102521_102924,day0_trial3,Chamber1,,,Shock 3,0,0,0,0,622.1,0,1888
,,,,,,,,,,,,,
211004_10,VF102521_102924,day0_trial3,Chamber 2,,,Sound 1,0,0,0,0,290.79,0,1214
211004_10,VF102521_102924,day0_trial3,Chamber 2,,,Sound 2,1,0.333,0.06,1.11,93.06,0,536
211004_10,VF102521_102924,day0_trial3,Chamber 2,,,Sound 3,6,2.4,0.47,8,59.66,0,748
211004_10,VF102521_102924,day0_trial3,Chamber 2,,,Shock 1,0,0,0,0,1006.27,164,2717
211004_10,VF102521_102924,day0_trial3,Chamber 2,,,Shock 2,0,0,0,0,1022.43,44,2957
211004_10,VF102521_102924,day0_trial3,Chamber 2,,,Shock 3,0,0,0,0,1059.63,0,3350
,,,,,,,,,,,,,
211004_11,VF102521_104255,day0_trial4,Chamber1,,,Sound 1,15,13.067,2.53,43.56,24.09,0,297
211004_11,VF102521_104255,day0_trial4,Chamber1,,,Sound 2,11,11.867,2.3,39.56,21.17,0,210
211004_11,VF102521_104255,day0_trial4,Chamber1,,,Sound 3,17,22,4.26,73.33,7.34,0,119
211004_11,VF102521_104255,day0_trial4,Chamber1,,,Shock 1,0,0,0,0,565.15,14,2447
