,Date :,2/9/2022 14:27,,,,,,,,,,,
,Motion Threshold (au):,15,,,,,,,,,,,
,Detection Method:,Linear,,,,,,,,,,,
,Min Freeze Duration (f):,10,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Component Details,,,,,,,,,,,,
,Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
,Day2_Acclimation, 0:00:00.000,180,0,5400,,,,,,,,
,Day2_CSTone, 0:03:00.000,360,5400,10800,,,,,,,,
,Day2_Exploration, 0:06:00.000,450,10800,13500,,,,,,,,
,,,,,,,,,,,,,
Animal ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
220110_1,VF020922_131805,day2_trial1,Chamber1,,,Day2_Acclimation,10,7.933,1.76,4.41,183.31,0,1346
220110_1,VF020922_131805,day2_trial1,Chamber1,,,Day2_CSTone,70,76.933,17.1,21.37,109.99,0,2684
220110_1,VF020922_131805,day2_trial1,Chamber1,,,Day2_Exploration,22,25.033,5.56,5.56,126.06,0,1539
,,,,,,,,,,,,,
220110_2,VF020922_131805,day2_trial1,Chamber 2,,,Day2_Acclimation,16,14.767,3.28,8.2,109.09,0,933
220110_2,VF020922_131805,day2_trial1,Chamber 2,,,Day2_CSTone,76,143.367,31.86,39.82,48.89,0,907
220110_2,VF020922_131805,day2_trial1,Chamber 2,,,Day2_Exploration,15,19.333,4.3,4.3,86.08,0,907
,,,,,,,,,,,,,
220110_3,VF020922_132859,day2_trial2,Chamber1,,,Day2_Acclimation,1,0.5,0.11,0.28,215.73,0,1370
220110_3,VF020922_132859,day2_trial2,Chamber1,,,Day2_CSTone,44,53.133,11.81,14.76,132.66,0,1456
220110_3,VF020922_132859,day2_trial2,Chamber1,,,Day2_Exploration,10,8.367,1.86,1.86,160.04,0,1456
,,,,,,,,,,,,,
220110_4,VF020922_132859,day2_trial2,Chamber 2,,,Day2_Acclimation,16,11.3,2.51,6.28,133.36,0,1124
220110_4,VF020922_132859,day2_trial2,Chamber 2,,,Day2_CSTone,55,97.8,21.73,27.17,77.75,0,2145
220110_4,VF020922_132859,day2_trial2,Chamber 2,,,Day2_Exploration,19,22.367,4.97,4.97,92.95,0,2145
,,,,,,,,,,,,,
220110_5,VF020922_133951,day2_trial3,Chamber1,,,Day2_Acclimation,55,36.467,8.1,20.26,115.37,0,1289
220110_5,VF020922_133951,day2_trial3,Chamber1,,,Day2_CSTone,93,72.333,16.07,20.09,113.4,0,4033
220110_5,VF020922_133951,day2_trial3,Chamber1,,,Day2_Exploration,23,20.3,4.51,4.51,148.81,0,4033
,,,,,,,,,,,,,
220110_6,VF020922_133951,day2_trial3,Chamber 2,,,Day2_Acclimation,13,16.1,3.58,8.94,178.7,0,1267
220110_6,VF020922_133951,day2_trial3,Chamber 2,,,Day2_CSTone,57,72.567,16.13,20.16,107.86,0,1399
220110_6,VF020922_133951,day2_trial3,Chamber 2,,,Day2_Exploration,10,7.733,1.72,1.72,179.13,0,1399
,,,,,,,,,,,,,
220110_7,VF020922_135039,day2_trial4,Chamber1,,,Day2_Acclimation,35,45.633,10.14,25.35,116.46,0,1175
220110_7,VF020922_135039,day2_trial4,Chamber1,,,Day2_CSTone,65,156.4,34.76,43.44,51.47,0,3170
220110_7,VF020922_135039,day2_trial4,Chamber1,,,Day2_Exploration,9,18.433,4.1,4.1,111.37,0,632
,,,,,,,,,,,,,
220110_8,VF020922_135039,day2_trial4,Chamber 2,,,Day2_Acclimation,4,2.6,0.58,1.44,175.52,0,1478
220110_8,VF020922_135039,day2_trial4,Chamber 2,,,Day2_CSTone,43,84.5,18.78,23.47,97.1,0,2759
220110_8,VF020922_135039,day2_trial4,Chamber 2,,,Day2_Exploration,12,18.867,4.19,4.19,116.35,0,1059
,,,,,,,,,,,,,
220110_9,VF020922_140107,day2_trial5,Chamber1,,,Day2_Acclimation,13,10.767,2.39,5.98,187.05,0,1374
220110_9,VF020922_140107,day2_trial5,Chamber1,,,Day2_CSTone,68,114.967,25.55,31.94,58.76,0,1635
220110_9,VF020922_140107,day2_trial5,Chamber1,,,Day2_Exploration,15,24.733,5.5,5.5,76.35,0,1229
,,,,,,,,,,,,,
220110_10,VF020922_140107,day2_trial5,Chamber 2,,,Day2_Acclimation,16,12.633,2.81,7.02,193.18,0,2129
220110_10,VF020922_140107,day2_trial5,Chamber 2,,,Day2_CSTone,93,118.933,26.43,33.04,64.98,0,4283
220110_10,VF020922_140107,day2_trial5,Chamber 2,,,Day2_Exploration,16,22,4.89,4.89,103.98,0,3694
,,,,,,,,,,,,,
220110_11,VF020922_141341,day2_trial6,Chamber1,,,Day2_Acclimation,26,36.867,8.19,20.48,124.41,0,984
220110_11,VF020922_141341,day2_trial6,Chamber1,,,Day2_CSTone,48,107.767,23.95,29.94,66.13,0,2705
220110_11,VF020922_141341,day2_trial6,Chamber1,,,Day2_Exploration,15,25.267,5.61,5.61,82.5,0,1037
,,,,,,,,,,,,,
220110_12,VF020922_141341,day2_trial6,Chamber 2,,,Day2_Acclimation,22,25.567,5.68,14.2,138.32,0,1171
220110_12,VF020922_141341,day2_trial6,Chamber 2,,,Day2_CSTone,51,90.7,20.16,25.19,89.43,0,1328
220110_12,VF020922_141341,day2_trial6,Chamber 2,,,Day2_Exploration,15,21.433,4.76,4.76,82.48,0,873
