,Date :,3/7/2022 12:13,,,,,,,,,,,
,Motion Threshold (au):,15,,,,,,,,,,,
,Detection Method:,Linear,,,,,,,,,,,
,Min Freeze Duration (f):,10,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Component Details,,,,,,,,,,,,
,Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
,Sound 1, 0:02:00.000,30,3600,900,,,,,,,,
,Sound 2, 0:04:02.000,30,7260,900,,,,,,,,
,Sound 3, 0:06:04.000,30,10920,900,,,,,,,,
,Shock 1, 0:02:30.000,2,4500,60,,,,,,,,
,Shock 2, 0:04:32.000,2,8160,60,,,,,,,,
,Shock 3, 0:06:34.000,2,11820,60,,,,,,,,
,,,,,,,,,,,,,
Animal ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
220207_1,VF030722_095608,day0_trial1,Chamber1,,,Sound 1,7,5.1,0.99,17,35.05,0,283
220207_1,VF030722_095608,day0_trial1,Chamber1,,,Sound 2,14,8.8,1.71,29.33,22.99,0,208
220207_1,VF030722_095608,day0_trial1,Chamber1,,,Sound 3,9,27.067,5.25,90.22,2.76,0,111
220207_1,VF030722_095608,day0_trial1,Chamber1,,,Shock 1,0,0,0,0,422.93,0,2412
220207_1,VF030722_095608,day0_trial1,Chamber1,,,Shock 2,0,0,0,0,482.45,15,2585
220207_1,VF030722_095608,day0_trial1,Chamber1,,,Shock 3,0,0,0,0,324.48,0,1274
,,,,,,,,,,,,,
220207_2,VF030722_095608,day0_trial1,Chamber 2,,,Sound 1,2,0.867,0.17,2.89,122.8,0,499
220207_2,VF030722_095608,day0_trial1,Chamber 2,,,Sound 2,5,2.8,0.54,9.33,135.65,0,788
220207_2,VF030722_095608,day0_trial1,Chamber 2,,,Sound 3,6,6.633,1.29,22.11,57.94,0,321
220207_2,VF030722_095608,day0_trial1,Chamber 2,,,Shock 1,0,0,0,0,809.58,113,2249
220207_2,VF030722_095608,day0_trial1,Chamber 2,,,Shock 2,0,0,0,0,950.47,179,2276
220207_2,VF030722_095608,day0_trial1,Chamber 2,,,Shock 3,0,0,0,0,1017.6,56,2105
,,,,,,,,,,,,,
220207_3,VF030722_101135,day0_trial2,Chamber1,,,Sound 1,6,2.867,0.56,9.56,67.66,0,413
220207_3,VF030722_101135,day0_trial2,Chamber1,,,Sound 2,13,10.233,1.98,34.11,24.82,0,274
220207_3,VF030722_101135,day0_trial2,Chamber1,,,Sound 3,13,8.267,1.6,27.56,31.79,0,305
220207_3,VF030722_101135,day0_trial2,Chamber1,,,Shock 1,0,0,0,0,499.45,64,1451
220207_3,VF030722_101135,day0_trial2,Chamber1,,,Shock 2,0,0,0,0,426.18,11,1204
220207_3,VF030722_101135,day0_trial2,Chamber1,,,Shock 3,0,0,0,0,783.53,0,2541
,,,,,,,,,,,,,
220207_4,VF030722_101135,day0_trial2,Chamber 2,,,Sound 1,0,0,0,0,213.79,2,1591
220207_4,VF030722_101135,day0_trial2,Chamber 2,,,Sound 2,1,0.5,0.1,1.67,145.03,0,584
220207_4,VF030722_101135,day0_trial2,Chamber 2,,,Sound 3,5,17.467,3.39,58.22,31.41,0,429
220207_4,VF030722_101135,day0_trial2,Chamber 2,,,Shock 1,0,0,0,0,945.45,13,4272
220207_4,VF030722_101135,day0_trial2,Chamber 2,,,Shock 2,0,0,0,0,963.88,23,2427
220207_4,VF030722_101135,day0_trial2,Chamber 2,,,Shock 3,0,0,0,0,894.68,73,3609
,,,,,,,,,,,,,
220207_9,VF030722_102315,day0_trial3,Chamber1,,,Sound 1,3,1.3,0.25,4.33,83.26,0,1211
220207_9,VF030722_102315,day0_trial3,Chamber1,,,Sound 2,16,8.2,1.59,27.33,26.76,0,209
220207_9,VF030722_102315,day0_trial3,Chamber1,,,Sound 3,20,25.5,4.94,85,4.32,0,139
220207_9,VF030722_102315,day0_trial3,Chamber1,,,Shock 1,0,0,0,0,276,2,808
220207_9,VF030722_102315,day0_trial3,Chamber1,,,Shock 2,0,0,0,0,273.53,31,806
220207_9,VF030722_102315,day0_trial3,Chamber1,,,Shock 3,0,0,0,0,372.38,0,2920
,,,,,,,,,,,,,
220207_10,VF030722_102315,day0_trial3,Chamber 2,,,Sound 1,0,0,0,0,281.1,0,1752
220207_10,VF030722_102315,day0_trial3,Chamber 2,,,Sound 2,3,2.433,0.47,8.11,176.23,0,1164
220207_10,VF030722_102315,day0_trial3,Chamber 2,,,Sound 3,4,6.3,1.22,21,69.04,0,826
220207_10,VF030722_102315,day0_trial3,Chamber 2,,,Shock 1,0,0,0,0,1034.27,19,3618
220207_10,VF030722_102315,day0_trial3,Chamber 2,,,Shock 2,0,0,0,0,776.48,63,3500
220207_10,VF030722_102315,day0_trial3,Chamber 2,,,Shock 3,0,0,0,0,667.97,0,1637
,,,,,,,,,,,,,
220207_11,VF030722_103448,day0_trial4,Chamber1,,,Sound 1,5,2.467,0.48,8.22,80.8,0,489
220207_11,VF030722_103448,day0_trial4,Chamber1,,,Sound 2,15,16.8,3.26,56,23.49,0,330
220207_11,VF030722_103448,day0_trial4,Chamber1,,,Sound 3,11,6.767,1.31,22.56,29.19,0,221
220207_11,VF030722_103448,day0_trial4,Chamber1,,,Shock 1,0,0,0,0,257.75,10,1025
