,Date :,6/6/2022 11:08,,,,,,,,,,,
,Motion Threshold (au):,15,,,,,,,,,,,
,Detection Method:,Linear,,,,,,,,,,,
,Min Freeze Duration (f):,10,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Component Details,,,,,,,,,,,,
,Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
,Sound 1, 0:02:00.000,30,3600,900,,,,,,,,
,Sound 2, 0:04:02.000,30,7260,900,,,,,,,,
,Sound 3, 0:06:04.000,30,10920,900,,,,,,,,
,Shock 1, 0:02:30.000,2,4500,60,,,,,,,,
,Shock 2, 0:04:32.000,2,8160,60,,,,,,,,
,Shock 3, 0:06:34.000,2,11820,60,,,,,,,,
,,,,,,,,,,,,,
Animal_ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
220509_1,VF060622_100220,day0_Trial 1,Chamber1,,,Sound 1,0,0,0,0,127.44,0,889
220509_1,VF060622_100220,day0_Trial 1,Chamber1,,,Sound 2,7,7.833,1.52,26.11,62.38,0,1015
220509_1,VF060622_100220,day0_Trial 1,Chamber1,,,Sound 3,5,7.533,1.46,25.11,24.17,0,262
220509_1,VF060622_100220,day0_Trial 1,Chamber1,,,Shock 1,0,0,0,0,330.42,3,1303
220509_1,VF060622_100220,day0_Trial 1,Chamber1,,,Shock 2,0,0,0,0,256.45,0,853
220509_1,VF060622_100220,day0_Trial 1,Chamber1,,,Shock 3,0,0,0,0,228.18,9,1327
,,,,,,,,,,,,,
220509_4,VF060622_100220,day0_Trial 1,Chamber 2,,,Sound 1,0,0,0,0,380.16,4,1523
220509_4,VF060622_100220,day0_Trial 1,Chamber 2,,,Sound 2,1,0.533,0.1,1.78,229.03,0,922
220509_4,VF060622_100220,day0_Trial 1,Chamber 2,,,Sound 3,7,10.633,2.06,35.44,69.33,0,506
220509_4,VF060622_100220,day0_Trial 1,Chamber 2,,,Shock 1,0,0,0,0,508.37,32,1259
220509_4,VF060622_100220,day0_Trial 1,Chamber 2,,,Shock 2,0,0,0,0,1370.42,375,3418
220509_4,VF060622_100220,day0_Trial 1,Chamber 2,,,Shock 3,0,0,0,0,602.65,168,1608
,,,,,,,,,,,,,
220509_6,VF060622_101408,day0_Trial 2,Chamber1,,,Sound 1,5,3.533,0.68,11.78,98.22,0,996
220509_6,VF060622_101408,day0_Trial 2,Chamber1,,,Sound 2,13,10.433,2.02,34.78,49.53,0,935
220509_6,VF060622_101408,day0_Trial 2,Chamber1,,,Sound 3,13,21.533,4.17,71.78,12.37,0,347
220509_6,VF060622_101408,day0_Trial 2,Chamber1,,,Shock 1,0,0,0,0,389.38,0,1139
220509_6,VF060622_101408,day0_Trial 2,Chamber1,,,Shock 2,0,0,0,0,213.57,0,864
220509_6,VF060622_101408,day0_Trial 2,Chamber1,,,Shock 3,0,0,0,0,233.68,1,897
,,,,,,,,,,,,,
220509_7,VF060622_101408,day0_Trial 2,Chamber 2,,,Sound 1,1,0.667,0.13,2.22,287.38,0,1541
220509_7,VF060622_101408,day0_Trial 2,Chamber 2,,,Sound 2,7,18.933,3.67,63.11,23.43,0,396
220509_7,VF060622_101408,day0_Trial 2,Chamber 2,,,Sound 3,6,23.433,4.54,78.11,11.96,0,303
220509_7,VF060622_101408,day0_Trial 2,Chamber 2,,,Shock 1,0,0,0,0,836.92,40,2123
220509_7,VF060622_101408,day0_Trial 2,Chamber 2,,,Shock 2,0,0,0,0,870.6,0,2188
220509_7,VF060622_101408,day0_Trial 2,Chamber 2,,,Shock 3,0,0,0,0,1043.37,0,3138
,,,,,,,,,,,,,
220509_8,VF060622_102748,day0_Trial3,Chamber1,,,Sound 1,5,2.9,0.56,9.67,51.01,0,334
220509_8,VF060622_102748,day0_Trial3,Chamber1,,,Sound 2,10,6.867,1.33,22.89,30.14,0,413
220509_8,VF060622_102748,day0_Trial3,Chamber1,,,Sound 3,12,26.4,5.12,88,2.67,0,72
220509_8,VF060622_102748,day0_Trial3,Chamber1,,,Shock 1,0,0,0,0,284.7,49,1216
220509_8,VF060622_102748,day0_Trial3,Chamber1,,,Shock 2,0,0,0,0,394.93,10,1576
220509_8,VF060622_102748,day0_Trial3,Chamber1,,,Shock 3,0,0,0,0,248.3,0,808
,,,,,,,,,,,,,
220509_10,VF060622_102748,day0_Trial3,Chamber 2,,,Sound 1,0,0,0,0,303.44,0,1529
220509_10,VF060622_102748,day0_Trial3,Chamber 2,,,Sound 2,2,1.333,0.26,4.44,229.27,0,1382
220509_10,VF060622_102748,day0_Trial3,Chamber 2,,,Sound 3,10,7.433,1.44,24.78,95.29,0,649
220509_10,VF060622_102748,day0_Trial3,Chamber 2,,,Shock 1,0,0,0,0,814.9,64,1590
220509_10,VF060622_102748,day0_Trial3,Chamber 2,,,Shock 2,0,0,0,0,931.68,172,2088
220509_10,VF060622_102748,day0_Trial3,Chamber 2,,,Shock 3,0,0,0,0,852.8,127,2087
,,,,,,,,,,,,,
220509_11,VF060622_104004,day0_Trial4,Chamber1,,,Sound 1,3,1.5,0.29,5,100.19,0,1082
220509_11,VF060622_104004,day0_Trial4,Chamber1,,,Sound 2,12,6.867,1.33,22.89,43.47,0,672
220509_11,VF060622_104004,day0_Trial4,Chamber1,,,Sound 3,17,21,4.07,70,7.52,0,124
