,Date :,5/27/2021 17:41,,,,,,,,,,,
,Motion Threshold (au):,15,,,,,,,,,,,
,Detection Method:,Linear,,,,,,,,,,,
,Min Freeze Duration (f):,10,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Component Details,,,,,,,,,,,,
,Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
,Sound 1, 0:02:00.000,30,3600,900,,,,,,,,
,Sound 2, 0:04:02.000,30,7260,900,,,,,,,,
,Sound 3, 0:06:04.000,30,10920,900,,,,,,,,
,Shock 1, 0:02:30.000,2,4500,60,,,,,,,,
,Shock 2, 0:04:32.000,2,8160,60,,,,,,,,
,Shock 3, 0:06:34.000,2,11820,60,,,,,,,,
,,,,,,,,,,,,,
Animal ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
210112_1,VF050321_101857,1_day0,Chamber1,,,Sound 1,8,27.633,5.36,92.11,2.87,0,204
210112_1,VF050321_101857,1_day0,Chamber1,,,Sound 2,1,30,5.81,100,0.17,0,11
210112_1,VF050321_101857,1_day0,Chamber1,,,Sound 3,1,30,5.81,100,0,0,1
210112_1,VF050321_101857,1_day0,Chamber1,,,Shock 1,1,0.433,0.08,21.67,156.82,0,1816
210112_1,VF050321_101857,1_day0,Chamber1,,,Shock 2,2,0.7,0.14,35,44.9,0,445
210112_1,VF050321_101857,1_day0,Chamber1,,,Shock 3,0,0,0,0,103.8,0,1353
,,,,,,,,,,,,,
210112_2,VF050321_101857,1_day0,Chamber 2,,,Sound 1,4,29.9,5.79,99.67,0.64,0,22
210112_2,VF050321_101857,1_day0,Chamber 2,,,Sound 2,1,30,5.81,100,0.16,0,10
210112_2,VF050321_101857,1_day0,Chamber 2,,,Sound 3,1,30,5.81,100,0,0,0
210112_2,VF050321_101857,1_day0,Chamber 2,,,Shock 1,2,1.967,0.38,98.33,1.65,0,20
210112_2,VF050321_101857,1_day0,Chamber 2,,,Shock 2,2,1.8,0.35,90,2.25,0,50
210112_2,VF050321_101857,1_day0,Chamber 2,,,Shock 3,2,1.767,0.34,88.33,2.97,0,37
,,,,,,,,,,,,,
210112_4,VF050321_103318,2_day0,Chamber1,,,Sound 1,16,23.233,4.5,77.44,6.58,0,218
210112_4,VF050321_103318,2_day0,Chamber1,,,Sound 2,1,30,5.81,100,0.07,0,7
210112_4,VF050321_103318,2_day0,Chamber1,,,Sound 3,1,30,5.81,100,0,0,0
210112_4,VF050321_103318,2_day0,Chamber1,,,Shock 1,2,0.933,0.18,46.67,11.5,0,60
210112_4,VF050321_103318,2_day0,Chamber1,,,Shock 2,1,0.5,0.1,25,63.47,0,808
210112_4,VF050321_103318,2_day0,Chamber1,,,Shock 3,2,0.867,0.17,43.33,16.63,0,93
,,,,,,,,,,,,,
210112_5,VF050321_103318,2_day0,Chamber 2,,,Sound 1,4,29.9,5.79,99.67,0.34,0,18
210112_5,VF050321_103318,2_day0,Chamber 2,,,Sound 2,1,30,5.81,100,0.03,0,7
210112_5,VF050321_103318,2_day0,Chamber 2,,,Sound 3,1,30,5.81,100,0.21,0,8
210112_5,VF050321_103318,2_day0,Chamber 2,,,Shock 1,2,1.233,0.24,61.67,6,0,114
210112_5,VF050321_103318,2_day0,Chamber 2,,,Shock 2,3,1.833,0.36,91.67,3.05,0,21
210112_5,VF050321_103318,2_day0,Chamber 2,,,Shock 3,2,1.7,0.33,85,1.57,0,16
,,,,,,,,,,,,,
210112_6,VF050321_104331,3_day0,Chamber1,,,Sound 1,2,29.967,5.81,99.89,0.21,0,20
210112_6,VF050321_104331,3_day0,Chamber1,,,Sound 2,1,30,5.81,100,0.02,0,4
210112_6,VF050321_104331,3_day0,Chamber1,,,Sound 3,1,30,5.81,100,0.04,0,9
210112_6,VF050321_104331,3_day0,Chamber1,,,Shock 1,1,0.4,0.08,20,24.35,0,215
210112_6,VF050321_104331,3_day0,Chamber1,,,Shock 2,0,0,0,0,149.57,0,1094
210112_6,VF050321_104331,3_day0,Chamber1,,,Shock 3,0,0,0,0,356.4,0,3432
,,,,,,,,,,,,,
210112_7,VF050321_104331,3_day0,Chamber 2,,,Sound 1,3,29.933,5.8,99.78,0.61,0,17
210112_7,VF050321_104331,3_day0,Chamber 2,,,Sound 2,1,30,5.81,100,0.11,0,13
210112_7,VF050321_104331,3_day0,Chamber 2,,,Sound 3,3,29.533,5.72,98.44,0.73,0,25
210112_7,VF050321_104331,3_day0,Chamber 2,,,Shock 1,2,0.833,0.16,41.67,8.58,0,85
210112_7,VF050321_104331,3_day0,Chamber 2,,,Shock 2,2,1.167,0.23,58.33,6.28,0,27
210112_7,VF050321_104331,3_day0,Chamber 2,,,Shock 3,2,1.1,0.21,55,9.65,0,52
,,,,,,,,,,,,,
210112_8,VF050321_105553,4_day0,Chamber1,,,Sound 1,5,28.1,5.45,93.67,2.37,0,165
210112_8,VF050321_105553,4_day0,Chamber1,,,Sound 2,3,28.7,5.56,95.67,1.39,0,238
210112_8,VF050321_105553,4_day0,Chamber1,,,Sound 3,1,30,5.81,100,0.02,0,4
210112_8,VF050321_105553,4_day0,Chamber1,,,Shock 1,1,0.567,0.11,28.33,12.35,0,106
210112_8,VF050321_105553,4_day0,Chamber1,,,Shock 2,1,0.333,0.06,16.67,10.73,0,54
