,Date :,5/27/2021 17:43,,,,,,,,,,,
,Motion Threshold (au):,15,,,,,,,,,,,
,Detection Method:,Linear,,,,,,,,,,,
,Min Freeze Duration (f):,10,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Component Details,,,,,,,,,,,,
,Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
,White House Light, 0:00:00.000,300,0,9000,,,,,,,,
,,,,,,,,,,,,,
Animal ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
210112_1,VF050421_101617,1_day1,Chamber1,,,White House Light,23,296.433,98.81,98.81,7.55,0,63821
,,,,,,,,,,,,,
210112_2,VF050421_101617,1_day1,Chamber 2,,,White House Light,13,298.9,99.63,99.63,5.7,0,48984
,,,,,,,,,,,,,
210112_4,VF050421_102530,2_day1,Chamber1,,,White House Light,42,289.267,96.42,96.42,8.62,0,64971
,,,,,,,,,,,,,
210112_5,VF050421_102530,2_day1,Chamber 2,,,White House Light,25,297.233,99.08,99.08,5.59,0,46577
,,,,,,,,,,,,,
210112_6,VF050421_103204,3_day1,Chamber1,,,White House Light,49,280.3,93.43,93.43,9.56,0,63686
,,,,,,,,,,,,,
210112_7,VF050421_103204,3_day1,Chamber 2,,,White House Light,95,263.433,87.81,87.81,9.8,0,58397
,,,,,,,,,,,,,
210112_8,VF050421_104013,4_day1,Chamber1,,,White House Light,30,295.667,98.56,98.56,8.02,0,67399
,,,,,,,,,,,,,
210112_9,VF050421_104013,4_day1,Chamber 2,,,White House Light,25,294.867,98.29,98.29,5.9,0,48709
,,,,,,,,,,,,,
210112_10,VF050421_104812,5_day1,Chamber1,,,White House Light,18,296.967,98.99,98.99,7.23,0,61020
,,,,,,,,,,,,,
210112_11,VF050421_104812,5_day1,Chamber 2,,,White House Light,11,298.867,99.62,99.62,5.38,0,46591
,,,,,,,,,,,,,
210112_12,VF050421_105549,6_day1,Chamber1,,,White House Light,30,296.533,98.84,98.84,8.4,0,68926
,,,,,,,,,,,,,
210112_13,VF050421_105549,6_day1,Chamber 2,,,White House Light,33,291.467,97.16,97.16,5.6,0,40828
,,,,,,,,,,,,,
210112_14,VF050421_110354,7_day1,Chamber1,,,White House Light,82,267.4,89.13,89.13,15.86,0,63567
,,,,,,,,,,,,,
210112_15,VF050421_110354,7_day1,Chamber 2,,,White House Light,24,293.133,97.71,97.71,4.54,0,34373
,,,,,,,,,,,,,
210112_16,VF050421_111230,8_day1,Chamber1,,,White House Light,132,209.767,69.92,69.92,20.31,0,69262
,,,,,,,,,,,,,
210112_17,VF050421_111230,8_day1,Chamber 2,,,White House Light,25,296.833,98.94,98.94,5.18,0,40940
,,,,,,,,,,,,,
210112_18,VF050421_112002,9_day1,Chamber1,,,White House Light,34,288.867,96.29,96.29,9,0,68085
,,,,,,,,,,,,,
210112_19,VF050421_112002,9_day1,Chamber 2,,,White House Light,63,248.567,82.86,82.86,15.81,0,58417
,,,,,,,,,,,,,
210112_20,VF050421_112830,10_day1,Chamber1,,,White House Light,9,297.9,99.3,99.3,7.76,0,66987
,,,,,,,,,,,,,
210112_21,VF050421_112830,10_day1,Chamber 2,,,White House Light,18,298,99.33,99.33,5.28,0,43917
,,,,,,,,,,,,,
210112_23,VF050421_113636,11_day1,Chamber1,,,White House Light,28,292.167,97.39,97.39,7.6,0,63127
,,,,,,,,,,,,,
210112_24,VF050421_113636,11_day1,Chamber 2,,,White House Light,3,299.733,99.91,99.91,4.7,0,41661
,,,,,,,,,,,,,
210112_25,VF050421_114449,12_day1,Chamber1,,,White House Light,25,292.333,97.44,97.44,7.91,0,65066
,,,,,,,,,,,,,
210112_26,VF050421_114449,12_day1,Chamber 2,,,White House Light,10,298.7,99.57,99.57,4.43,0,38535
,,,,,,,,,,,,,
210112_27,VF050421_115413,13_day1,Chamber1,,,White House Light,37,289.767,96.59,96.59,9.14,0,68570
,,,,,,,,,,,,,
210112_28,VF050421_115413,13_day1,Chamber 2,,,White House Light,24,295.133,98.38,98.38,4.26,0,33746
,,,,,,,,,,,,,
210112_29,VF050421_120244,14_day1,Chamber1,,,White House Light,28,288.333,96.11,96.11,8.3,0,61386
