,Date :,7/15/2021 13:12,,,,,,,,,,,
,Motion Threshold (au):,15,,,,,,,,,,,
,Detection Method:,Linear,,,,,,,,,,,
,Min Freeze Duration (f):,10,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Component Details,,,,,,,,,,,,
,Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
,Day2_Acclimation, 0:00:00.000,180,0,5400,,,,,,,,
,Day2_CSTone, 0:03:00.000,360,5400,10800,,,,,,,,
,Day2_Exploration, 0:06:00.000,450,10800,13500,,,,,,,,
,,,,,,,,,,,,,
Animal ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
210503_1,VF070821_092123,day2_trial_1,Chamber1,,,Day2_Acclimation,57,162.6,36.13,90.33,2.33,0,130
210503_1,VF070821_092123,day2_trial_1,Chamber1,,,Day2_CSTone,39,260.333,57.85,72.31,1.09,0,109
210503_1,VF070821_092123,day2_trial_1,Chamber1,,,Day2_Exploration,17,84.567,18.79,18.79,1.81,0,108
,,,,,,,,,,,,,
210503_2,VF070821_092123,day2_trial_1,Chamber 2,,,Day2_Acclimation,43,168.5,37.44,93.61,1.68,0,141
210503_2,VF070821_092123,day2_trial_1,Chamber 2,,,Day2_CSTone,25,262.967,58.44,73.05,0.56,0,81
210503_2,VF070821_092123,day2_trial_1,Chamber 2,,,Day2_Exploration,5,87.2,19.38,19.38,0.57,0,78
,,,,,,,,,,,,,
210503_3,VF070821_093010,day2_trial2,Chamber1,,,Day2_Acclimation,18,177.433,39.43,98.57,0.41,0,46
210503_3,VF070821_093010,day2_trial2,Chamber1,,,Day2_CSTone,15,267.133,59.36,74.2,0.88,0,918
210503_3,VF070821_093010,day2_trial2,Chamber1,,,Day2_Exploration,1,90,20,20,0.01,0,5
,,,,,,,,,,,,,
210503_4,VF070821_093010,day2_trial2,Chamber 2,,,Day2_Acclimation,15,178.933,39.76,99.41,0.31,0,39
210503_4,VF070821_093010,day2_trial2,Chamber 2,,,Day2_CSTone,3,269.933,59.99,74.98,0.05,0,18
210503_4,VF070821_093010,day2_trial2,Chamber 2,,,Day2_Exploration,3,89.933,19.99,19.99,0.13,0,18
,,,,,,,,,,,,,
210503_5,VF070821_093955,day2_trial_3,Chamber1,,,Day2_Acclimation,55,163.867,36.41,91.04,1.92,0,109
210503_5,VF070821_093955,day2_trial_3,Chamber1,,,Day2_CSTone,22,265.933,59.1,73.87,0.42,0,103
210503_5,VF070821_093955,day2_trial_3,Chamber1,,,Day2_Exploration,16,86.867,19.3,19.3,0.95,0,103
,,,,,,,,,,,,,
210503_6,VF070821_093955,day2_trial_3,Chamber 2,,,Day2_Acclimation,8,179.133,39.81,99.52,0.24,0,69
210503_6,VF070821_093955,day2_trial_3,Chamber 2,,,Day2_CSTone,11,269.233,59.83,74.79,0.09,0,39
210503_6,VF070821_093955,day2_trial_3,Chamber 2,,,Day2_Exploration,11,89.233,19.83,19.83,0.25,0,39
,,,,,,,,,,,,,
210503_7,VF070821_094939,day2_trial4,Chamber1,,,Day2_Acclimation,32,171.833,38.19,95.46,1.29,0,193
210503_7,VF070821_094939,day2_trial4,Chamber1,,,Day2_CSTone,25,266.3,59.18,73.97,0.4,0,121
210503_7,VF070821_094939,day2_trial4,Chamber1,,,Day2_Exploration,19,87.6,19.47,19.47,0.8,0,107
,,,,,,,,,,,,,
210503_8,VF070821_094939,day2_trial4,Chamber 2,,,Day2_Acclimation,17,178.667,39.7,99.26,0.33,0,40
210503_8,VF070821_094939,day2_trial4,Chamber 2,,,Day2_CSTone,6,269.733,59.94,74.93,0.1,0,29
210503_8,VF070821_094939,day2_trial4,Chamber 2,,,Day2_Exploration,2,89.9,19.98,19.98,0.14,0,20
,,,,,,,,,,,,,
210503_9,VF070821_095924,day2_trial5,Chamber1,,,Day2_Acclimation,18,175.733,39.05,97.63,0.67,0,180
210503_9,VF070821_095924,day2_trial5,Chamber1,,,Day2_CSTone,21,267.9,59.53,74.42,0.31,0,68
210503_9,VF070821_095924,day2_trial5,Chamber1,,,Day2_Exploration,15,88.3,19.62,19.62,0.67,0,62
,,,,,,,,,,,,,
210503_10,VF070821_095924,day2_trial5,Chamber 2,,,Day2_Acclimation,77,150.533,33.45,83.63,3.4,0,184
210503_10,VF070821_095924,day2_trial5,Chamber 2,,,Day2_CSTone,78,246.5,54.78,68.47,2.03,0,117
210503_10,VF070821_095924,day2_trial5,Chamber 2,,,Day2_Exploration,31,78.467,17.44,17.44,2.69,0,117
,,,,,,,,,,,,,
210503_11,VF070821_100906,day2_trail6,Chamber1,,,Day2_Acclimation,26,109.667,24.37,60.93,73.75,0,1443
210503_11,VF070821_100906,day2_trail6,Chamber1,,,Day2_CSTone,44,203.867,45.3,56.63,37.56,0,1499
210503_11,VF070821_100906,day2_trail6,Chamber1,,,Day2_Exploration,16,68,15.11,15.11,18.63,0,953
,,,,,,,,,,,,,
210503_12,VF070821_100906,day2_trail6,Chamber 2,,,Day2_Acclimation,26,175.9,39.09,97.72,0.72,0,96
210503_12,VF070821_100906,day2_trail6,Chamber 2,,,Day2_CSTone,4,268.9,59.76,74.69,0.11,0,45
210503_12,VF070821_100906,day2_trail6,Chamber 2,,,Day2_Exploration,2,89.967,19.99,19.99,0.1,0,22
,,,,,,,,,,,,,
