,Date :,7/9/2021 11:53,,,,,,,,,,,
,Motion Threshold (au):,18,,,,,,,,,,,
,Detection Method:,Linear,,,,,,,,,,,
,Min Freeze Duration (f):,30,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Component Details,,,,,,,,,,,,
,Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
,Sound 1, 0:02:00.000,30,3600,900,,,,,,,,
,Sound 2, 0:04:02.000,30,7260,900,,,,,,,,
,Sound 3, 0:06:04.000,30,10920,900,,,,,,,,
,Shock 1, 0:02:30.000,2,4500,60,,,,,,,,
,Shock 2, 0:04:32.000,2,8160,60,,,,,,,,
,Shock 3, 0:06:34.000,2,11820,60,,,,,,,,
,,,,,,,,,,,,,
Animal ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
210614_1,VF070621_093727,day0_trial_1,Chamber1,,,Sound 1,6,27.3,5.29,91,1.94,0,48
210614_1,VF070621_093727,day0_trial_1,Chamber1,,,Sound 2,2,29.367,5.69,97.89,0.46,0,23
210614_1,VF070621_093727,day0_trial_1,Chamber1,,,Sound 3,1,30,5.81,100,0,0,2
210614_1,VF070621_093727,day0_trial_1,Chamber1,,,Shock 1,1,1,0.19,50,7.08,0,95
210614_1,VF070621_093727,day0_trial_1,Chamber1,,,Shock 2,0,0,0,0,7.23,0,82
210614_1,VF070621_093727,day0_trial_1,Chamber1,,,Shock 3,0,0,0,0,13.37,0,90
,,,,,,,,,,,,,
210614_2,VF070621_093727,day0_trial_1,Chamber 2,,,Sound 1,2,27.967,5.42,93.22,2.47,0,196
210614_2,VF070621_093727,day0_trial_1,Chamber 2,,,Sound 2,4,27.633,5.36,92.11,4.05,0,271
210614_2,VF070621_093727,day0_trial_1,Chamber 2,,,Sound 3,2,28.433,5.51,94.78,0.59,0,36
210614_2,VF070621_093727,day0_trial_1,Chamber 2,,,Shock 1,1,2,0.39,100,0.12,0,2
210614_2,VF070621_093727,day0_trial_1,Chamber 2,,,Shock 2,1,1.967,0.38,98.33,1.05,0,36
210614_2,VF070621_093727,day0_trial_1,Chamber 2,,,Shock 3,1,2,0.39,100,0,0,0
,,,,,,,,,,,,,
210614_2,VF070621_095444,day0_trial_1,Chamber 2,,,Sound 1,1,30,5.81,100,0.02,0,4
210614_2,VF070621_095444,day0_trial_1,Chamber 2,,,Sound 2,2,29.933,5.8,99.78,0.28,0,27
210614_2,VF070621_095444,day0_trial_1,Chamber 2,,,Sound 3,1,30,5.81,100,0,0,0
210614_2,VF070621_095444,day0_trial_1,Chamber 2,,,Shock 1,0,0,0,0,24.35,0,284
210614_2,VF070621_095444,day0_trial_1,Chamber 2,,,Shock 2,0,0,0,0,32.85,0,274
210614_2,VF070621_095444,day0_trial_1,Chamber 2,,,Shock 3,0,0,0,0,21.92,0,266
,,,,,,,,,,,,,
210614_3,VF070621_100720,day0_trial2,Chamber1,,,Sound 1,2,29.833,5.78,99.44,0.64,0,31
210614_3,VF070621_100720,day0_trial2,Chamber1,,,Sound 2,2,29.733,5.76,99.11,0.52,0,55
210614_3,VF070621_100720,day0_trial2,Chamber1,,,Sound 3,1,30,5.81,100,0.12,0,14
210614_3,VF070621_100720,day0_trial2,Chamber1,,,Shock 1,1,1.667,0.32,83.33,3.32,0,18
210614_3,VF070621_100720,day0_trial2,Chamber1,,,Shock 2,0,0,0,0,4.7,0,41
210614_3,VF070621_100720,day0_trial2,Chamber1,,,Shock 3,1,1.3,0.25,65,9.12,0,98
,,,,,,,,,,,,,
210614_4,VF070621_100720,day0_trial2,Chamber 2,,,Sound 1,2,28.767,5.57,95.89,2.86,0,308
210614_4,VF070621_100720,day0_trial2,Chamber 2,,,Sound 2,1,30,5.81,100,0.1,0,11
210614_4,VF070621_100720,day0_trial2,Chamber 2,,,Sound 3,1,30,5.81,100,0.04,0,5
210614_4,VF070621_100720,day0_trial2,Chamber 2,,,Shock 1,0,0,0,0,3.7,0,50
210614_4,VF070621_100720,day0_trial2,Chamber 2,,,Shock 2,1,1.267,0.25,63.33,7.42,0,96
210614_4,VF070621_100720,day0_trial2,Chamber 2,,,Shock 3,1,1.133,0.22,56.67,6.33,0,83
,,,,,,,,,,,,,
210614_5,VF070621_102014,day0_trial_3,Chamber1,,,Sound 1,2,11.533,2.24,38.44,28.33,0,408
210614_5,VF070621_102014,day0_trial_3,Chamber1,,,Sound 2,7,11.233,2.18,37.44,16.89,0,218
210614_5,VF070621_102014,day0_trial_3,Chamber1,,,Sound 3,5,22.1,4.28,73.67,6.16,0,201
210614_5,VF070621_102014,day0_trial_3,Chamber1,,,Shock 1,0,0,0,0,215.77,0,1436
210614_5,VF070621_102014,day0_trial_3,Chamber1,,,Shock 2,0,0,0,0,118.97,0,962
210614_5,VF070621_102014,day0_trial_3,Chamber1,,,Shock 3,0,0,0,0,131.35,0,833
,,,,,,,,,,,,,
210614_6,VF070621_102014,day0_trial_3,Chamber 2,,,Sound 1,1,30,5.81,100,0.11,0,12
210614_6,VF070621_102014,day0_trial_3,Chamber 2,,,Sound 2,1,30,5.81,100,0.07,0,7
210614_6,VF070621_102014,day0_trial_3,Chamber 2,,,Sound 3,1,30,5.81,100,0,0,0
210614_6,VF070621_102014,day0_trial_3,Chamber 2,,,Shock 1,0,0,0,0,6.47,0,153
210614_6,VF070621_102014,day0_trial_3,Chamber 2,,,Shock 2,1,1.5,0.29,75,3.48,0,32
210614_6,VF070621_102014,day0_trial_3,Chamber 2,,,Shock 3,1,1.333,0.26,66.67,1.2,0,21
,,,,,,,,,,,,,
210614_7,VF070621_102947,day0_trial4,Chamber1,,,Sound 1,2,29.967,5.81,99.89,0.18,0,18
210614_7,VF070621_102947,day0_trial4,Chamber1,,,Sound 2,1,30,5.81,100,0.15,0,11
210614_7,VF070621_102947,day0_trial4,Chamber1,,,Sound 3,1,30,5.81,100,0,0,0
210614_7,VF070621_102947,day0_trial4,Chamber1,,,Shock 1,0,0,0,0,13.87,0,123
210614_7,VF070621_102947,day0_trial4,Chamber1,,,Shock 2,0,0,0,0,8.38,0,61
210614_7,VF070621_102947,day0_trial4,Chamber1,,,Shock 3,1,1.2,0.23,60,7.37,0,63
,,,,,,,,,,,,,
210614_8,VF070621_102947,day0_trial4,Chamber 2,,,Sound 1,1,30,5.81,100,0.16,0,14
210614_8,VF070621_102947,day0_trial4,Chamber 2,,,Sound 2,1,30,5.81,100,0.01,0,2
210614_8,VF070621_102947,day0_trial4,Chamber 2,,,Sound 3,1,30,5.81,100,0,0,0
210614_8,VF070621_102947,day0_trial4,Chamber 2,,,Shock 1,1,1.233,0.24,61.67,30.98,0,615
210614_8,VF070621_102947,day0_trial4,Chamber 2,,,Shock 2,0,0,0,0,17.08,0,222
210614_8,VF070621_102947,day0_trial4,Chamber 2,,,Shock 3,0,0,0,0,7.4,0,77
,,,,,,,,,,,,,
210614_9,VF070621_104043,day0_trial_5,Chamber1,,,Sound 1,1,30,5.81,100,0.29,0,11
210614_9,VF070621_104043,day0_trial_5,Chamber1,,,Sound 2,1,30,5.81,100,0.32,0,13
210614_9,VF070621_104043,day0_trial_5,Chamber1,,,Sound 3,3,29.933,5.8,99.78,0.31,0,28
210614_9,VF070621_104043,day0_trial_5,Chamber1,,,Shock 1,0,0,0,0,14.57,0,188
210614_9,VF070621_104043,day0_trial_5,Chamber1,,,Shock 2,0,0,0,0,10.68,0,116
210614_9,VF070621_104043,day0_trial_5,Chamber1,,,Shock 3,0,0,0,0,18.55,0,146
,,,,,,,,,,,,,
210614_10,VF070621_104043,day0_trial_5,Chamber 2,,,Sound 1,6,27.967,5.42,93.22,2.84,0,132
210614_10,VF070621_104043,day0_trial_5,Chamber 2,,,Sound 2,2,29.967,5.81,99.89,0.17,0,19
210614_10,VF070621_104043,day0_trial_5,Chamber 2,,,Sound 3,1,30,5.81,100,0.02,0,3
210614_10,VF070621_104043,day0_trial_5,Chamber 2,,,Shock 1,0,0,0,0,10.05,0,115
210614_10,VF070621_104043,day0_trial_5,Chamber 2,,,Shock 2,0,0,0,0,15.65,0,410
210614_10,VF070621_104043,day0_trial_5,Chamber 2,,,Shock 3,0,0,0,0,197.7,0,2101
,,,,,,,,,,,,,
210614_11,VF070621_105143,day0_trial6,Chamber1,,,Sound 1,9,22.933,4.44,76.44,5.83,0,112
210614_11,VF070621_105143,day0_trial6,Chamber1,,,Sound 2,4,26.267,5.09,87.56,1.39,0,44
210614_11,VF070621_105143,day0_trial6,Chamber1,,,Sound 3,2,29.967,5.81,99.89,0.19,0,21
210614_11,VF070621_105143,day0_trial6,Chamber1,,,Shock 1,0,0,0,0,53.77,0,651
210614_11,VF070621_105143,day0_trial6,Chamber1,,,Shock 2,0,0,0,0,38.8,0,474
210614_11,VF070621_105143,day0_trial6,Chamber1,,,Shock 3,0,0,0,0,72.52,0,421
,,,,,,,,,,,,,
210614_12,VF070621_105143,day0_trial6,Chamber 2,,,Sound 1,2,29.6,5.74,98.67,0.15,0,49
210614_12,VF070621_105143,day0_trial6,Chamber 2,,,Sound 2,1,29.033,5.63,96.78,0.25,0,33
210614_12,VF070621_105143,day0_trial6,Chamber 2,,,Sound 3,1,30,5.81,100,0.08,0,14
210614_12,VF070621_105143,day0_trial6,Chamber 2,,,Shock 1,0,0,0,0,65.28,0,797
210614_12,VF070621_105143,day0_trial6,Chamber 2,,,Shock 2,0,0,0,0,20.08,0,227
210614_12,VF070621_105143,day0_trial6,Chamber 2,,,Shock 3,1,1.233,0.24,61.67,21.67,0,395
,,,,,,,,,,,,,
210614_13,VF070621_110257,day0_trial7,Chamber1,,,Sound 1,1,29.1,5.64,97,0.38,0,26
210614_13,VF070621_110257,day0_trial7,Chamber1,,,Sound 2,1,30,5.81,100,0,0,1
210614_13,VF070621_110257,day0_trial7,Chamber1,,,Sound 3,1,30,5.81,100,0,0,0
210614_13,VF070621_110257,day0_trial7,Chamber1,,,Shock 1,1,1.033,0.2,51.67,11.08,0,105
210614_13,VF070621_110257,day0_trial7,Chamber1,,,Shock 2,1,1.2,0.23,60,3.97,0,34
210614_13,VF070621_110257,day0_trial7,Chamber1,,,Shock 3,1,1.033,0.2,51.67,2.7,0,27
,,,,,,,,,,,,,
210614_14,VF070621_110257,day0_trial7,Chamber 2,,,Sound 1,5,28.5,5.52,95,1.51,0,63
210614_14,VF070621_110257,day0_trial7,Chamber 2,,,Sound 2,1,30,5.81,100,0.15,0,15
210614_14,VF070621_110257,day0_trial7,Chamber 2,,,Sound 3,2,29.633,5.74,98.78,3.07,0,1042
210614_14,VF070621_110257,day0_trial7,Chamber 2,,,Shock 1,0,0,0,0,61.37,0,708
210614_14,VF070621_110257,day0_trial7,Chamber 2,,,Shock 2,0,0,0,0,22.6,0,153
210614_14,VF070621_110257,day0_trial7,Chamber 2,,,Shock 3,0,0,0,0,28.62,0,195
,,,,,,,,,,,,,
210614_15,VF070621_111350,day0_trial8,Chamber1,,,Sound 1,6,17.567,3.4,58.56,5.71,0,96
210614_15,VF070621_111350,day0_trial8,Chamber1,,,Sound 2,4,29.567,5.73,98.56,0.98,0,37
210614_15,VF070621_111350,day0_trial8,Chamber1,,,Sound 3,6,27.833,5.39,92.78,1.67,0,39
210614_15,VF070621_111350,day0_trial8,Chamber1,,,Shock 1,0,0,0,0,46.4,0,354
210614_15,VF070621_111350,day0_trial8,Chamber1,,,Shock 2,0,0,0,0,24.73,0,164
210614_15,VF070621_111350,day0_trial8,Chamber1,,,Shock 3,0,0,0,0,109.15,0,945
,,,,,,,,,,,,,
210614_16,VF070621_111350,day0_trial8,Chamber 2,,,Sound 1,5,29.133,5.65,97.11,2.63,0,392
210614_16,VF070621_111350,day0_trial8,Chamber 2,,,Sound 2,1,30,5.81,100,0.19,0,9
210614_16,VF070621_111350,day0_trial8,Chamber 2,,,Sound 3,1,30,5.81,100,0.05,0,16
