,Date :,9/27/2021 12:49,,,,,,,,,,,
,Motion Threshold (au):,15,,,,,,,,,,,
,Detection Method:,Linear,,,,,,,,,,,
,Min Freeze Duration (f):,10,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Component Details,,,,,,,,,,,,
,Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
,Sound 1, 0:02:00.000,30,3600,900,,,,,,,,
,Sound 2, 0:04:02.000,30,7260,900,,,,,,,,
,Sound 3, 0:06:04.000,30,10920,900,,,,,,,,
,Shock 1, 0:02:30.000,2,4500,60,,,,,,,,
,Shock 2, 0:04:32.000,2,8160,60,,,,,,,,
,Shock 3, 0:06:34.000,2,11820,60,,,,,,,,
,,,,,,,,,,,,,
Animal_ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
210906_1,VF092721_101230,day0_trial1,Chamber1,,,Sound 1,6,3.5,0.68,11.67,87.46,0,718
210906_1,VF092721_101230,day0_trial1,Chamber1,,,Sound 2,10,7.7,1.49,25.67,31.53,0,417
210906_1,VF092721_101230,day0_trial1,Chamber1,,,Sound 3,12,14.8,2.87,49.33,26.69,0,420
210906_1,VF092721_101230,day0_trial1,Chamber1,,,Shock 1,0,0,0,0,649.1,0,3008
210906_1,VF092721_101230,day0_trial1,Chamber1,,,Shock 2,0,0,0,0,473,0,1561
210906_1,VF092721_101230,day0_trial1,Chamber1,,,Shock 3,0,0,0,0,365.6,2,879
,,,,,,,,,,,,,
210906_2,VF092721_101230,day0_trial1,Chamber 2,,,Sound 1,2,1.633,0.32,5.44,525.37,0,2564
210906_2,VF092721_101230,day0_trial1,Chamber 2,,,Sound 2,0,0,0,0,463.33,1,4067
210906_2,VF092721_101230,day0_trial1,Chamber 2,,,Sound 3,11,9.767,1.89,32.56,88.91,0,802
210906_2,VF092721_101230,day0_trial1,Chamber 2,,,Shock 1,0,0,0,0,896.42,260,2156
210906_2,VF092721_101230,day0_trial1,Chamber 2,,,Shock 2,0,0,0,0,758.28,49,1862
210906_2,VF092721_101230,day0_trial1,Chamber 2,,,Shock 3,0,0,0,0,918.65,66,2360
,,,,,,,,,,,,,
210906_3,VF092721_102648,day0_trial2,Chamber1,,,Sound 1,6,3.733,0.72,12.44,106.17,0,964
210906_3,VF092721_102648,day0_trial2,Chamber1,,,Sound 2,14,21.4,4.15,71.33,12.87,0,280
210906_3,VF092721_102648,day0_trial2,Chamber1,,,Sound 3,3,28,5.43,93.33,2.25,0,183
210906_3,VF092721_102648,day0_trial2,Chamber1,,,Shock 1,0,0,0,0,489.78,8,1985
210906_3,VF092721_102648,day0_trial2,Chamber1,,,Shock 2,0,0,0,0,389.68,0,1093
210906_3,VF092721_102648,day0_trial2,Chamber1,,,Shock 3,0,0,0,0,828.8,0,3405
,,,,,,,,,,,,,
210906_4,VF092721_102648,day0_trial2,Chamber 2,,,Sound 1,0,0,0,0,275.62,1,1688
210906_4,VF092721_102648,day0_trial2,Chamber 2,,,Sound 2,3,5.667,1.1,18.89,169.8,0,1120
210906_4,VF092721_102648,day0_trial2,Chamber 2,,,Sound 3,6,18.233,3.53,60.78,39.97,0,851
210906_4,VF092721_102648,day0_trial2,Chamber 2,,,Shock 1,0,0,0,0,1255.53,148,4106
210906_4,VF092721_102648,day0_trial2,Chamber 2,,,Shock 2,0,0,0,0,1341.15,248,4004
210906_4,VF092721_102648,day0_trial2,Chamber 2,,,Shock 3,0,0,0,0,1189.23,242,4285
,,,,,,,,,,,,,
210906_5,VF092721_104037,day0_trial3,Chamber1,,,Sound 1,9,5.667,1.1,18.89,77.38,0,581
210906_5,VF092721_104037,day0_trial3,Chamber1,,,Sound 2,15,14.333,2.78,47.78,25.83,0,813
210906_5,VF092721_104037,day0_trial3,Chamber1,,,Sound 3,10,27.8,5.39,92.67,1.78,0,84
210906_5,VF092721_104037,day0_trial3,Chamber1,,,Shock 1,0,0,0,0,605.93,0,3637
210906_5,VF092721_104037,day0_trial3,Chamber1,,,Shock 2,0,0,0,0,614.25,3,2333
210906_5,VF092721_104037,day0_trial3,Chamber1,,,Shock 3,0,0,0,0,432.75,0,1336
,,,,,,,,,,,,,
210906_6,VF092721_104037,day0_trial3,Chamber 2,,,Sound 1,0,0,0,0,503.75,0,1845
210906_6,VF092721_104037,day0_trial3,Chamber 2,,,Sound 2,2,1.567,0.3,5.22,212.42,0,861
210906_6,VF092721_104037,day0_trial3,Chamber 2,,,Sound 3,9,4.467,0.87,14.89,88.71,0,1226
210906_6,VF092721_104037,day0_trial3,Chamber 2,,,Shock 1,0,0,0,0,902.62,133,3520
210906_6,VF092721_104037,day0_trial3,Chamber 2,,,Shock 2,0,0,0,0,1015.03,37,2276
210906_6,VF092721_104037,day0_trial3,Chamber 2,,,Shock 3,0,0,0,0,895,0,1909
,,,,,,,,,,,,,
210906_7,VF092721_105220,day0_trial4,Chamber1,,,Sound 1,3,1.6,0.31,5.33,117.57,0,655
210906_7,VF092721_105220,day0_trial4,Chamber1,,,Sound 2,4,3.2,0.62,10.67,159.42,0,1370
210906_7,VF092721_105220,day0_trial4,Chamber1,,,Sound 3,10,21,4.07,70,26.76,0,514
210906_7,VF092721_105220,day0_trial4,Chamber1,,,Shock 1,0,0,0,0,372.78,7,1728
