,Date :,4/4/2022 11:47,,,,,,,,,,,
,Motion Threshold (au):,15,,,,,,,,,,,
,Detection Method:,Linear,,,,,,,,,,,
,Min Freeze Duration (f):,10,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Component Details,,,,,,,,,,,,
,Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
,Sound 1, 0:02:00.000,30,3600,900,,,,,,,,
,Sound 2, 0:04:02.000,30,7260,900,,,,,,,,
,Sound 3, 0:06:04.000,30,10920,900,,,,,,,,
,Shock 1, 0:02:30.000,2,4500,60,,,,,,,,
,Shock 2, 0:04:32.000,2,8160,60,,,,,,,,
,Shock 3, 0:06:34.000,2,11820,60,,,,,,,,
,,,,,,,,,,,,,
Animal_ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
220307_1,VF040422_095848,Day0_trial1,Chamber1,,,Sound 1,10,5.6,1.09,18.67,43.67,0,508
220307_1,VF040422_095848,Day0_trial1,Chamber1,,,Sound 2,7,8.333,1.61,27.78,24.96,0,212
220307_1,VF040422_095848,Day0_trial1,Chamber1,,,Sound 3,12,26.533,5.14,88.44,2.9,0,77
220307_1,VF040422_095848,Day0_trial1,Chamber1,,,Shock 1,0,0,0,0,470.73,31,2570
220307_1,VF040422_095848,Day0_trial1,Chamber1,,,Shock 2,0,0,0,0,393.9,30,958
220307_1,VF040422_095848,Day0_trial1,Chamber1,,,Shock 3,0,0,0,0,612.82,0,2487
,,,,,,,,,,,,,
220307_2,VF040422_095848,Day0_trial1,Chamber 2,,,Sound 1,0,0,0,0,225.04,0,1249
220307_2,VF040422_095848,Day0_trial1,Chamber 2,,,Sound 2,11,11.833,2.29,39.44,39.68,0,774
220307_2,VF040422_095848,Day0_trial1,Chamber 2,,,Sound 3,8,13.5,2.62,45,44.15,0,471
220307_2,VF040422_095848,Day0_trial1,Chamber 2,,,Shock 1,0,0,0,0,1385.7,266,3389
220307_2,VF040422_095848,Day0_trial1,Chamber 2,,,Shock 2,0,0,0,0,1053.77,6,4007
220307_2,VF040422_095848,Day0_trial1,Chamber 2,,,Shock 3,0,0,0,0,1156.85,101,2727
,,,,,,,,,,,,,
220307_4,VF040422_101135,day0_trial2,Chamber1,,,Sound 1,5,2.433,0.47,8.11,95.46,0,1899
220307_4,VF040422_101135,day0_trial2,Chamber1,,,Sound 2,11,10.967,2.13,36.56,24.67,0,249
220307_4,VF040422_101135,day0_trial2,Chamber1,,,Sound 3,24,24.3,4.71,81,4.43,0,123
220307_4,VF040422_101135,day0_trial2,Chamber1,,,Shock 1,0,0,0,0,816.67,18,2827
220307_4,VF040422_101135,day0_trial2,Chamber1,,,Shock 2,0,0,0,0,755.13,48,2590
220307_4,VF040422_101135,day0_trial2,Chamber1,,,Shock 3,0,0,0,0,466.87,0,2134
,,,,,,,,,,,,,
220307_5,VF040422_101135,day0_trial2,Chamber 2,,,Sound 1,0,0,0,0,344.08,0,1757
220307_5,VF040422_101135,day0_trial2,Chamber 2,,,Sound 2,6,4.833,0.94,16.11,116.84,0,835
220307_5,VF040422_101135,day0_trial2,Chamber 2,,,Sound 3,10,13.533,2.62,45.11,73.99,0,669
220307_5,VF040422_101135,day0_trial2,Chamber 2,,,Shock 1,0,0,0,0,1093.82,160,2781
220307_5,VF040422_101135,day0_trial2,Chamber 2,,,Shock 2,0,0,0,0,1003.37,216,3360
220307_5,VF040422_101135,day0_trial2,Chamber 2,,,Shock 3,0,0,0,0,1146.6,104,3283
,,,,,,,,,,,,,
220307_6,VF040422_102515,day0_trial3,Chamber1,,,Sound 1,15,10.833,2.1,36.11,32.62,0,809
220307_6,VF040422_102515,day0_trial3,Chamber1,,,Sound 2,14,22,4.26,73.33,6.05,0,104
220307_6,VF040422_102515,day0_trial3,Chamber1,,,Sound 3,1,30,5.81,100,0.08,0,11
220307_6,VF040422_102515,day0_trial3,Chamber1,,,Shock 1,0,0,0,0,389.22,22,2442
220307_6,VF040422_102515,day0_trial3,Chamber1,,,Shock 2,0,0,0,0,403.3,0,1734
220307_6,VF040422_102515,day0_trial3,Chamber1,,,Shock 3,0,0,0,0,299.17,0,1242
,,,,,,,,,,,,,
220307_7,VF040422_102515,day0_trial3,Chamber 2,,,Sound 1,0,0,0,0,284.12,2,1302
220307_7,VF040422_102515,day0_trial3,Chamber 2,,,Sound 2,15,16.233,3.15,54.11,20.33,0,215
220307_7,VF040422_102515,day0_trial3,Chamber 2,,,Sound 3,8,9,1.74,30,45.87,0,353
220307_7,VF040422_102515,day0_trial3,Chamber 2,,,Shock 1,0,0,0,0,1055,7,2798
220307_7,VF040422_102515,day0_trial3,Chamber 2,,,Shock 2,0,0,0,0,1097.07,51,4342
220307_7,VF040422_102515,day0_trial3,Chamber 2,,,Shock 3,0,0,0,0,1179.22,0,3968
,,,,,,,,,,,,,
220307_8,VF040422_103835,day0_trial4,Chamber1,,,Sound 1,7,6.767,1.31,22.56,50.66,0,352
220307_8,VF040422_103835,day0_trial4,Chamber1,,,Sound 2,11,29,5.62,96.67,0.95,0,47
220307_8,VF040422_103835,day0_trial4,Chamber1,,,Sound 3,5,26.4,5.12,88,4,0,155
220307_8,VF040422_103835,day0_trial4,Chamber1,,,Shock 1,0,0,0,0,522.4,0,3299
