,Date :,5/27/2021 16:59,,,,,,,,,,,
,Motion Threshold (au):,15,,,,,,,,,,,
,Detection Method:,Linear,,,,,,,,,,,
,Min Freeze Duration (f):,10,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Component Details,,,,,,,,,,,,
,Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
,Day2_Acclimation, 0:00:00.000,180,0,5400,,,,,,,,
,Day2_CSTone, 0:03:00.000,360,5400,10800,,,,,,,,
,Day2_Exploration, 0:06:00.000,450,10800,13500,,,,,,,,
,,,,,,,,,,,,,
Animal ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
201012-1,VF020321_104436,day2_1,Chamber1,,,Day2_Acclimation,31,175.8,30.84,97.67,0.81,0,70
201012-1,VF020321_104436,day2_1,Chamber1,,,Day2_CSTone,31,355.067,62.29,98.63,0.5,0,50
201012-1,VF020321_104436,day2_1,Chamber1,,,Day2_Exploration,16,207.533,36.41,46.12,0.52,0,50
,,,,,,,,,,,,,
201012-2,VF020321_104436,day2_1,Chamber 2,,,Day2_Acclimation,7,179.333,31.46,99.63,0.25,0,29
201012-2,VF020321_104436,day2_1,Chamber 2,,,Day2_CSTone,12,358.933,62.97,99.7,0.2,0,32
201012-2,VF020321_104436,day2_1,Chamber 2,,,Day2_Exploration,9,209.033,36.67,46.45,0.29,0,32
,,,,,,,,,,,,,
201012-3,VF020321_110229,day2_2,Chamber1,,,Day2_Acclimation,1,180,40,100,0.14,0,12
201012-3,VF020321_110229,day2_2,Chamber1,,,Day2_CSTone,1,270,60,75,0.04,0,11
201012-3,VF020321_110229,day2_2,Chamber1,,,Day2_Exploration,1,90,20,20,0.08,0,11
,,,,,,,,,,,,,
201012-4,VF020321_110229,day2_2,Chamber 2,,,Day2_Acclimation,10,178.867,39.75,99.37,0.29,0,22
201012-4,VF020321_110229,day2_2,Chamber 2,,,Day2_CSTone,3,269.9,59.98,74.97,0.09,0,25
201012-4,VF020321_110229,day2_2,Chamber 2,,,Day2_Exploration,1,90,20,20,0.08,0,13
,,,,,,,,,,,,,
201012-5,VF020321_111240,day2_3,Chamber1,,,Day2_Acclimation,14,179.567,39.9,99.76,0.61,0,25
201012-5,VF020321_111240,day2_3,Chamber1,,,Day2_CSTone,2,269.667,59.93,74.91,0.17,0,18
201012-5,VF020321_111240,day2_3,Chamber1,,,Day2_Exploration,1,90,20,20,0.21,0,12
,,,,,,,,,,,,,
201012-6,VF020321_111240,day2_3,Chamber 2,,,Day2_Acclimation,93,138.3,30.73,76.83,5.97,0,111
201012-6,VF020321_111240,day2_3,Chamber 2,,,Day2_CSTone,52,247.733,55.05,68.81,2.12,0,105
201012-6,VF020321_111240,day2_3,Chamber 2,,,Day2_Exploration,19,84.1,18.69,18.69,1.99,0,105
,,,,,,,,,,,,,
201012-7,VF020321_112636,day2_4,Chamber1,,,Day2_Acclimation,11,178.467,39.66,99.15,0.32,0,38
201012-7,VF020321_112636,day2_4,Chamber1,,,Day2_CSTone,4,268.7,59.71,74.64,0.09,0,49
201012-7,VF020321_112636,day2_4,Chamber1,,,Day2_Exploration,3,89.3,19.84,19.84,0.12,0,49
,,,,,,,,,,,,,
201012-8,VF020321_112636,day2_4,Chamber 2,,,Day2_Acclimation,2,179.967,39.99,99.98,0.17,0,18
201012-8,VF020321_112636,day2_4,Chamber 2,,,Day2_CSTone,2,269.967,59.99,74.99,0.05,0,16
201012-8,VF020321_112636,day2_4,Chamber 2,,,Day2_Exploration,1,90,20,20,0.03,0,11
,,,,,,,,,,,,,
201012-9,VF020321_113658,day2_5,Chamber1,,,Day2_Acclimation,60,164.5,36.56,91.39,2.06,0,70
201012-9,VF020321_113658,day2_5,Chamber1,,,Day2_CSTone,70,255.567,56.79,70.99,1.55,0,75
201012-9,VF020321_113658,day2_5,Chamber1,,,Day2_Exploration,18,86.333,19.19,19.19,1.36,0,75
,,,,,,,,,,,,,
201012-10,VF020321_113658,day2_5,Chamber 2,,,Day2_Acclimation,53,169.867,37.75,94.37,1.95,0,82
201012-10,VF020321_113658,day2_5,Chamber 2,,,Day2_CSTone,43,263.733,58.61,73.26,0.92,0,78
201012-10,VF020321_113658,day2_5,Chamber 2,,,Day2_Exploration,14,87.967,19.55,19.55,0.81,0,45
,,,,,,,,,,,,,
201012-11,VF020321_114921,day2_6,Chamber1,,,Day2_Acclimation,11,179.167,39.81,99.54,0.38,0,54
201012-11,VF020321_114921,day2_6,Chamber1,,,Day2_CSTone,4,269.433,59.87,74.84,0.08,0,56
201012-11,VF020321_114921,day2_6,Chamber1,,,Day2_Exploration,3,89.933,19.99,19.99,0.1,0,18
,,,,,,,,,,,,,
201012-12,VF020321_114921,day2_6,Chamber 2,,,Day2_Acclimation,29,175.3,38.96,97.39,0.76,0,53
201012-12,VF020321_114921,day2_6,Chamber 2,,,Day2_CSTone,21,265.233,58.94,73.68,0.37,0,72
201012-12,VF020321_114921,day2_6,Chamber 2,,,Day2_Exploration,10,87.733,19.5,19.5,0.51,0,35
,,,,,,,,,,,,,
201012-13,VF020321_120045,day2_7,Chamber1,,,Day2_Acclimation,10,179.6,39.91,99.78,0.3,0,30
201012-13,VF020321_120045,day2_7,Chamber1,,,Day2_CSTone,2,269.967,59.99,74.99,0.08,0,16
