,Date :,5/27/2021 17:45,,,,,,,,,,,
,Motion Threshold (au):,15,,,,,,,,,,,
,Detection Method:,Linear,,,,,,,,,,,
,Min Freeze Duration (f):,10,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Component Details,,,,,,,,,,,,
,Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
,Day2_Acclimation, 0:00:00.000,180,0,5400,,,,,,,,
,Day2_CSTone, 0:03:00.000,360,5400,10800,,,,,,,,
,Day2_Exploration, 0:06:00.000,450,10800,13500,,,,,,,,
,,,,,,,,,,,,,
Animal ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
210112_1,VF050521_110518,,Chamber1,,,Day2_Acclimation,65,162.133,36.03,90.07,2.44,0,112
210112_1,VF050521_110518,,Chamber1,,,Day2_CSTone,23,263.9,58.64,73.31,0.67,0,153
210112_1,VF050521_110518,,Chamber1,,,Day2_Exploration,1,90,20,20,0.01,0,3
,,,,,,,,,,,,,
210112_2,VF050521_110518,,Chamber 2,,,Day2_Acclimation,11,175.933,39.1,97.74,0.65,0,153
210112_2,VF050521_110518,,Chamber 2,,,Day2_CSTone,12,266.033,59.12,73.9,0.44,0,153
210112_2,VF050521_110518,,Chamber 2,,,Day2_Exploration,1,90,20,20,0.01,0,3
,,,,,,,,,,,,,
210112_4,VF050521_112235,1_day2,Chamber1,,,Day2_Acclimation,85,136.533,30.34,75.85,7.35,0,317
210112_4,VF050521_112235,1_day2,Chamber1,,,Day2_CSTone,37,258.4,57.42,71.78,1.37,0,183
210112_4,VF050521_112235,1_day2,Chamber1,,,Day2_Exploration,22,84.533,18.79,18.79,1.99,0,128
,,,,,,,,,,,,,
210112_5,VF050521_112235,1_day2,Chamber 2,,,Day2_Acclimation,19,177.033,39.34,98.35,0.46,0,62
210112_5,VF050521_112235,1_day2,Chamber 2,,,Day2_CSTone,19,265.033,58.9,73.62,0.41,0,40
210112_5,VF050521_112235,1_day2,Chamber 2,,,Day2_Exploration,4,89.767,19.95,19.95,0.2,0,19
,,,,,,,,,,,,,
210112_6,VF050521_113130,2_day2,Chamber1,,,Day2_Acclimation,64,164.067,36.46,91.15,2.17,0,165
210112_6,VF050521_113130,2_day2,Chamber1,,,Day2_CSTone,13,268.6,59.69,74.61,0.21,0,62
210112_6,VF050521_113130,2_day2,Chamber1,,,Day2_Exploration,9,89.1,19.8,19.8,0.34,0,41
,,,,,,,,,,,,,
210112_7,VF050521_113130,2_day2,Chamber 2,,,Day2_Acclimation,68,163.667,36.37,90.93,1.98,0,91
210112_7,VF050521_113130,2_day2,Chamber 2,,,Day2_CSTone,42,264.7,58.82,73.53,0.7,0,86
210112_7,VF050521_113130,2_day2,Chamber 2,,,Day2_Exploration,15,87.967,19.55,19.55,0.69,0,86
,,,,,,,,,,,,,
210112_8,VF050521_114130,3_day2,Chamber1,,,Day2_Acclimation,98,151,33.56,83.89,5.18,0,388
210112_8,VF050521_114130,3_day2,Chamber1,,,Day2_CSTone,44,255.767,56.84,71.05,2.08,0,685
210112_8,VF050521_114130,3_day2,Chamber1,,,Day2_Exploration,16,85.267,18.95,18.95,1.81,0,134
,,,,,,,,,,,,,
210112_9,VF050521_114130,3_day2,Chamber 2,,,Day2_Acclimation,34,171.6,38.13,95.33,1.17,0,68
210112_9,VF050521_114130,3_day2,Chamber 2,,,Day2_CSTone,41,258.7,57.49,71.86,0.81,0,58
210112_9,VF050521_114130,3_day2,Chamber 2,,,Day2_Exploration,12,86.967,19.33,19.33,0.68,0,55
,,,,,,,,,,,,,
210112_10,VF050521_115151,4_day2,Chamber1,,,Day2_Acclimation,38,172.833,38.41,96.02,1.33,0,150
210112_10,VF050521_115151,4_day2,Chamber1,,,Day2_CSTone,18,268.067,59.57,74.46,0.24,0,55
210112_10,VF050521_115151,4_day2,Chamber1,,,Day2_Exploration,16,88.167,19.59,19.59,0.61,0,55
,,,,,,,,,,,,,
210112_11,VF050521_115151,4_day2,Chamber 2,,,Day2_Acclimation,23,174.467,38.77,96.93,0.57,0,54
210112_11,VF050521_115151,4_day2,Chamber 2,,,Day2_CSTone,1,270,60,75,0.02,0,11
210112_11,VF050521_115151,4_day2,Chamber 2,,,Day2_Exploration,1,90,20,20,0.04,0,11
,,,,,,,,,,,,,
210112_12,VF050521_120243,5_day2,Chamber1,,,Day2_Acclimation,34,171.3,38.07,95.17,1.32,0,178
210112_12,VF050521_120243,5_day2,Chamber1,,,Day2_CSTone,39,262.5,58.33,72.92,0.83,0,137
210112_12,VF050521_120243,5_day2,Chamber1,,,Day2_Exploration,21,85.8,19.07,19.07,1.28,0,137
,,,,,,,,,,,,,
210112_13,VF050521_120243,5_day2,Chamber 2,,,Day2_Acclimation,20,177.2,39.38,98.44,0.74,0,71
210112_13,VF050521_120243,5_day2,Chamber 2,,,Day2_CSTone,10,268.733,59.72,74.65,0.31,0,41
210112_13,VF050521_120243,5_day2,Chamber 2,,,Day2_Exploration,8,88.833,19.74,19.74,0.67,0,26
,,,,,,,,,,,,,
210112_14,VF050521_121407,6_day2,Chamber1,,,Day2_Acclimation,96,117.7,26.16,65.39,8.73,0,412
210112_14,VF050521_121407,6_day2,Chamber1,,,Day2_CSTone,107,224,49.78,62.22,3.96,0,127
