,Date :,7/15/2021 13:11,,,,,,,,,,,
,Motion Threshold (au):,15,,,,,,,,,,,
,Detection Method:,Linear,,,,,,,,,,,
,Min Freeze Duration (f):,10,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Component Details,,,,,,,,,,,,
,Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
,Sound 1, 0:02:00.000,30,3600,900,,,,,,,,
,Sound 2, 0:04:02.000,30,7260,900,,,,,,,,
,Sound 3, 0:06:04.000,30,10920,900,,,,,,,,
,Shock 1, 0:02:30.000,2,4500,60,,,,,,,,
,Shock 2, 0:04:32.000,2,8160,60,,,,,,,,
,Shock 3, 0:06:34.000,2,11820,60,,,,,,,,
,,,,,,,,,,,,,
Animal ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
210503_1,VF052421_110556,day0_1,Chamber1,,,Sound 1,4,29.9,5.79,99.67,0.21,0,24
210503_1,VF052421_110556,day0_1,Chamber1,,,Sound 2,2,29.967,5.81,99.89,0.13,0,19
210503_1,VF052421_110556,day0_1,Chamber1,,,Sound 3,1,30,5.81,100,0,0,0
210503_1,VF052421_110556,day0_1,Chamber1,,,Shock 1,2,1.7,0.33,85,2.08,0,23
210503_1,VF052421_110556,day0_1,Chamber1,,,Shock 2,1,1.767,0.34,88.33,1.62,0,29
210503_1,VF052421_110556,day0_1,Chamber1,,,Shock 3,1,2,0.39,100,0.92,0,12
,,,,,,,,,,,,,
210503_2,VF052421_110556,day0_1,Chamber 2,,,Sound 1,10,28.267,5.48,94.22,1.72,0,30
210503_2,VF052421_110556,day0_1,Chamber 2,,,Sound 2,1,30,5.81,100,0.2,0,14
210503_2,VF052421_110556,day0_1,Chamber 2,,,Sound 3,1,30,5.81,100,0.19,0,12
210503_2,VF052421_110556,day0_1,Chamber 2,,,Shock 1,1,0.333,0.06,16.67,13.87,0,107
210503_2,VF052421_110556,day0_1,Chamber 2,,,Shock 2,2,0.667,0.13,33.33,12.75,0,78
210503_2,VF052421_110556,day0_1,Chamber 2,,,Shock 3,1,0.6,0.12,30,14.07,0,75
,,,,,,,,,,,,,
210503_3,VF052421_111630,day0_2,Chamber1,,,Sound 1,6,28.833,5.59,96.11,0.97,0,66
210503_3,VF052421_111630,day0_2,Chamber1,,,Sound 2,1,30,5.81,100,0.05,0,6
210503_3,VF052421_111630,day0_2,Chamber1,,,Sound 3,1,30,5.81,100,0,0,0
210503_3,VF052421_111630,day0_2,Chamber1,,,Shock 1,3,1.3,0.25,65,17.8,0,270
210503_3,VF052421_111630,day0_2,Chamber1,,,Shock 2,2,0.967,0.19,48.33,22.03,0,179
210503_3,VF052421_111630,day0_2,Chamber1,,,Shock 3,0,0,0,0,33.37,0,284
,,,,,,,,,,,,,
210503_4,VF052421_111630,day0_2,Chamber 2,,,Sound 1,2,29.967,5.81,99.89,0.24,0,16
210503_4,VF052421_111630,day0_2,Chamber 2,,,Sound 2,1,30,5.81,100,0.09,0,6
210503_4,VF052421_111630,day0_2,Chamber 2,,,Sound 3,1,30,5.81,100,0.02,0,7
210503_4,VF052421_111630,day0_2,Chamber 2,,,Shock 1,1,2,0.39,100,1.15,0,11
210503_4,VF052421_111630,day0_2,Chamber 2,,,Shock 2,2,1.967,0.38,98.33,1.87,0,16
210503_4,VF052421_111630,day0_2,Chamber 2,,,Shock 3,1,2,0.39,100,1.4,0,13
,,,,,,,,,,,,,
210503_5,VF052421_112842,day0_3,Chamber1,,,Sound 1,6,28.867,5.59,96.22,1.31,0,88
210503_5,VF052421_112842,day0_3,Chamber1,,,Sound 2,2,29.867,5.79,99.56,0.24,0,75
210503_5,VF052421_112842,day0_3,Chamber1,,,Sound 3,1,30,5.81,100,0,0,0
210503_5,VF052421_112842,day0_3,Chamber1,,,Shock 1,2,1.167,0.23,58.33,8.58,0,149
210503_5,VF052421_112842,day0_3,Chamber1,,,Shock 2,3,1.8,0.35,90,4.28,0,70
210503_5,VF052421_112842,day0_3,Chamber1,,,Shock 3,2,1.1,0.21,55,12.73,0,121
,,,,,,,,,,,,,
210503_6,VF052421_112842,day0_3,Chamber 2,,,Sound 1,5,29.233,5.67,97.44,1.14,0,44
210503_6,VF052421_112842,day0_3,Chamber 2,,,Sound 2,1,30,5.81,100,0.18,0,8
210503_6,VF052421_112842,day0_3,Chamber 2,,,Sound 3,1,30,5.81,100,0,0,1
210503_6,VF052421_112842,day0_3,Chamber 2,,,Shock 1,1,1,0.19,50,5.92,0,50
210503_6,VF052421_112842,day0_3,Chamber 2,,,Shock 2,2,1.1,0.21,55,6.8,0,26
210503_6,VF052421_112842,day0_3,Chamber 2,,,Shock 3,4,1.767,0.34,88.33,4.38,0,31
,,,,,,,,,,,,,
210503_7,VF052421_114026,day0_4,Chamber1,,,Sound 1,5,28.9,5.6,96.33,1.73,0,183
210503_7,VF052421_114026,day0_4,Chamber1,,,Sound 2,1,29.6,5.74,98.67,1.11,0,154
210503_7,VF052421_114026,day0_4,Chamber1,,,Sound 3,2,29.967,5.81,99.89,0.16,0,18
210503_7,VF052421_114026,day0_4,Chamber1,,,Shock 1,1,0.733,0.14,36.67,21.18,0,183
210503_7,VF052421_114026,day0_4,Chamber1,,,Shock 2,2,1,0.19,50,5.77,0,53
