,Date :,9/1/2021 12:48,,,,,,,,,,,
,Motion Threshold (au):,15,,,,,,,,,,,
,Detection Method:,Linear,,,,,,,,,,,
,Min Freeze Duration (f):,10,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Component Details,,,,,,,,,,,,
,Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
,Sound 1, 0:02:00.000,30,3600,900,,,,,,,,
,Sound 2, 0:04:02.000,30,7260,900,,,,,,,,
,Sound 3, 0:06:04.000,30,10920,900,,,,,,,,
,Shock 1, 0:02:30.000,2,4500,60,,,,,,,,
,Shock 2, 0:04:32.000,2,8160,60,,,,,,,,
,Shock 3, 0:06:34.000,2,11820,60,,,,,,,,
,,,,,,,,,,,,,
Animal_ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
210809_1,VF083021_105349,day0_trial1,Chamber1,,,Sound 1,18,13.4,2.6,44.67,52.87,0,1077
210809_1,VF083021_105349,day0_trial1,Chamber1,,,Sound 2,11,27.533,5.34,91.78,2.39,0,74
210809_1,VF083021_105349,day0_trial1,Chamber1,,,Sound 3,6,29.533,5.72,98.44,0.89,0,62
210809_1,VF083021_105349,day0_trial1,Chamber1,,,Shock 1,0,0,0,0,354.62,0,1345
210809_1,VF083021_105349,day0_trial1,Chamber1,,,Shock 2,0,0,0,0,241.47,0,1345
210809_1,VF083021_105349,day0_trial1,Chamber1,,,Shock 3,0,0,0,0,221.02,0,1592
,,,,,,,,,,,,,
210809_2,VF083021_105349,day0_trial1,Chamber 2,,,Sound 1,5,27.1,5.25,90.33,2.47,0,87
210809_2,VF083021_105349,day0_trial1,Chamber 2,,,Sound 2,3,29.933,5.8,99.78,0.21,0,18
210809_2,VF083021_105349,day0_trial1,Chamber 2,,,Sound 3,1,30,5.81,100,0,0,0
210809_2,VF083021_105349,day0_trial1,Chamber 2,,,Shock 1,2,0.933,0.18,46.67,15.47,0,210
210809_2,VF083021_105349,day0_trial1,Chamber 2,,,Shock 2,2,0.7,0.14,35,15.17,0,182
210809_2,VF083021_105349,day0_trial1,Chamber 2,,,Shock 3,3,1.167,0.23,58.33,3.45,0,26
,,,,,,,,,,,,,
210809_3,VF083021_112203,day0_trial_2,Chamber1,,,Sound 1,9,28.533,5.53,95.11,2.39,0,321
210809_3,VF083021_112203,day0_trial_2,Chamber1,,,Sound 2,2,29.833,5.78,99.44,0.31,0,59
210809_3,VF083021_112203,day0_trial_2,Chamber1,,,Sound 3,1,30,5.81,100,0,0,0
210809_3,VF083021_112203,day0_trial_2,Chamber1,,,Shock 1,0,0,0,0,363.1,0,2183
210809_3,VF083021_112203,day0_trial_2,Chamber1,,,Shock 2,0,0,0,0,250.8,0,1379
210809_3,VF083021_112203,day0_trial_2,Chamber1,,,Shock 3,0,0,0,0,182.37,0,1091
,,,,,,,,,,,,,
210809_4,VF083021_112203,day0_trial_2,Chamber 2,,,Sound 1,4,29.733,5.76,99.11,0.49,0,39
210809_4,VF083021_112203,day0_trial_2,Chamber 2,,,Sound 2,1,30,5.81,100,0.01,0,2
210809_4,VF083021_112203,day0_trial_2,Chamber 2,,,Sound 3,1,30,5.81,100,0.04,0,5
210809_4,VF083021_112203,day0_trial_2,Chamber 2,,,Shock 1,1,2,0.39,100,0.93,0,14
210809_4,VF083021_112203,day0_trial_2,Chamber 2,,,Shock 2,1,2,0.39,100,0.67,0,6
210809_4,VF083021_112203,day0_trial_2,Chamber 2,,,Shock 3,2,1.967,0.38,98.33,0.97,0,16
,,,,,,,,,,,,,
210809_5,VF083021_113527,day0_trial3,Chamber1,,,Sound 1,17,25.233,4.89,84.11,8.37,0,318
210809_5,VF083021_113527,day0_trial3,Chamber1,,,Sound 2,3,29.933,5.8,99.78,0.29,0,18
210809_5,VF083021_113527,day0_trial3,Chamber1,,,Sound 3,1,30,5.81,100,0.02,0,2
210809_5,VF083021_113527,day0_trial3,Chamber1,,,Shock 1,1,0.4,0.08,20,26.83,0,215
210809_5,VF083021_113527,day0_trial3,Chamber1,,,Shock 2,0,0,0,0,54.23,0,612
210809_5,VF083021_113527,day0_trial3,Chamber1,,,Shock 3,1,0.333,0.06,16.67,128.92,0,812
,,,,,,,,,,,,,
210809_6,VF083021_113527,day0_trial3,Chamber 2,,,Sound 1,2,29.767,5.77,99.22,0.32,0,48
210809_6,VF083021_113527,day0_trial3,Chamber 2,,,Sound 2,2,29.967,5.81,99.89,0.06,0,15
210809_6,VF083021_113527,day0_trial3,Chamber 2,,,Sound 3,2,29.967,5.81,99.89,0.04,0,17
210809_6,VF083021_113527,day0_trial3,Chamber 2,,,Shock 1,3,1.933,0.37,96.67,2.15,0,34
210809_6,VF083021_113527,day0_trial3,Chamber 2,,,Shock 2,1,1.9,0.37,95,1.43,0,15
210809_6,VF083021_113527,day0_trial3,Chamber 2,,,Shock 3,2,1.967,0.38,98.33,1.97,0,21
,,,,,,,,,,,,,
210809_7,VF083021_115001,day0_trial4,Chamber1,,,Sound 1,9,26.533,5.14,88.44,5.97,0,348
210809_7,VF083021_115001,day0_trial4,Chamber1,,,Sound 2,5,29.167,5.65,97.22,1.25,0,233
210809_7,VF083021_115001,day0_trial4,Chamber1,,,Sound 3,2,29.233,5.67,97.44,2.12,0,408
