,Date :,9/1/2021 12:52,,,,,,,,,,,
,Motion Threshold (au):,15,,,,,,,,,,,
,Detection Method:,Linear,,,,,,,,,,,
,Min Freeze Duration (f):,10,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Component Details,,,,,,,,,,,,
,Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
,White House Light, 0:00:00.000,300,0,9000,,,,,,,,
,,,,,,,,,,,,,
Animal_ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
210809_1,VF083121_094304,day1_trial1,Chamber1,,,White House Light,7,299.1,99.7,99.7,0.14,0,81
,,,,,,,,,,,,,
210809_2,VF083121_094304,day1_trial1,Chamber 2,,,White House Light,82,230.367,76.79,76.79,7.76,0,504
,,,,,,,,,,,,,
210809_3,VF083121_095112,day1_trial2,Chamber1,,,White House Light,4,299.133,99.71,99.71,0.06,0,69
,,,,,,,,,,,,,
210809_4,VF083121_095112,day1_trial2,Chamber 2,,,White House Light,38,291.833,97.28,97.28,1.07,0,156
,,,,,,,,,,,,,
210809_5,VF083121_100652,day1_trial3,Chamber1,,,White House Light,8,295.9,98.63,98.63,0.33,0,95
,,,,,,,,,,,,,
210809_6,VF083121_100652,day1_trial3,Chamber 2,,,White House Light,38,292.2,97.4,97.4,1.18,0,166
,,,,,,,,,,,,,
210809_7,VF083121_101516,day1_trial4,Chamber1,,,White House Light,36,277.533,92.51,92.51,3.75,0,463
,,,,,,,,,,,,,
210809_8,VF083121_101516,day1_trial4,Chamber 2,,,White House Light,69,254.5,84.83,84.83,4.67,0,235
