,Date :,9/29/2021 12:10,,,,,,,,,,,
,Motion Threshold (au):,15,,,,,,,,,,,
,Detection Method:,Linear,,,,,,,,,,,
,Min Freeze Duration (f):,10,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Component Details,,,,,,,,,,,,
,Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
,Day2_Acclimation, 0:00:00.000,180,0,5400,,,,,,,,
,Day2_CSTone, 0:03:00.000,360,5400,10800,,,,,,,,
,Day2_Exploration, 0:06:00.000,450,10800,13500,,,,,,,,
,,,,,,,,,,,,,
Animal_ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
210906_1,VF092921_094426,day2_trial1,Chamber1,,,Day2_Acclimation,7,4,0.89,2.22,180.11,0,2218
210906_1,VF092921_094426,day2_trial1,Chamber1,,,Day2_CSTone,54,59.667,13.26,16.57,131.07,0,2929
210906_1,VF092921_094426,day2_trial1,Chamber1,,,Day2_Exploration,10,6.2,1.38,1.38,212.09,0,2195
,,,,,,,,,,,,,
210906_2,VF092921_094426,day2_trial1,Chamber 2,,,Day2_Acclimation,48,34.667,7.7,19.26,103.22,0,1208
210906_2,VF092921_094426,day2_trial1,Chamber 2,,,Day2_CSTone,85,82.8,18.4,23,79.68,0,1438
210906_2,VF092921_094426,day2_trial1,Chamber 2,,,Day2_Exploration,16,12.667,2.81,2.81,124.13,0,1285
,,,,,,,,,,,,,
210906_3,VF092921_095422,day2_trial2,Chamber1,,,Day2_Acclimation,27,49.133,10.92,27.3,93.59,0,835
210906_3,VF092921_095422,day2_trial2,Chamber1,,,Day2_CSTone,44,135.267,30.06,37.57,61.68,0,748
210906_3,VF092921_095422,day2_trial2,Chamber1,,,Day2_Exploration,9,20.933,4.65,4.65,111.45,0,748
,,,,,,,,,,,,,
210906_4,VF092921_095422,day2_trial2,Chamber 2,,,Day2_Acclimation,9,4.367,0.97,2.43,164.71,0,1567
210906_4,VF092921_095422,day2_trial2,Chamber 2,,,Day2_CSTone,62,52.567,11.68,14.6,88.68,0,1584
210906_4,VF092921_095422,day2_trial2,Chamber 2,,,Day2_Exploration,19,19.5,4.33,4.33,91.9,0,1584
,,,,,,,,,,,,,
210906_5,VF092921_102223,day2_trial3,Chamber1,,,Day2_Acclimation,45,69.5,15.44,38.61,69.08,0,623
210906_5,VF092921_102223,day2_trial3,Chamber1,,,Day2_CSTone,72,134.267,29.84,37.3,43.83,0,719
210906_5,VF092921_102223,day2_trial3,Chamber1,,,Day2_Exploration,24,35.7,7.93,7.93,50.19,0,562
,,,,,,,,,,,,,
210906_6,VF092921_102223,day2_trial3,Chamber 2,,,Day2_Acclimation,45,48.333,10.74,26.85,106.31,0,980
210906_6,VF092921_102223,day2_trial3,Chamber 2,,,Day2_CSTone,68,170.433,37.87,47.34,28.92,0,962
210906_6,VF092921_102223,day2_trial3,Chamber 2,,,Day2_Exploration,23,24.067,5.35,5.35,50.54,0,446
,,,,,,,,,,,,,
210906_7,VF092921_103213,day2_trial4,Chamber1,,,Day2_Acclimation,35,19.133,4.25,10.63,166.64,0,1436
210906_7,VF092921_103213,day2_trial4,Chamber1,,,Day2_CSTone,70,81.967,18.21,22.77,125.3,0,1282
210906_7,VF092921_103213,day2_trial4,Chamber1,,,Day2_Exploration,9,8.467,1.88,1.88,181.14,0,1282
,,,,,,,,,,,,,
210906_8,VF092921_103213,day2_trial4,Chamber 2,,,Day2_Acclimation,9,8.833,1.96,4.91,226.99,0,1591
210906_8,VF092921_103213,day2_trial4,Chamber 2,,,Day2_CSTone,62,92.367,20.53,25.66,108.49,0,1674
210906_8,VF092921_103213,day2_trial4,Chamber 2,,,Day2_Exploration,13,16.767,3.73,3.73,128.09,0,1674
,,,,,,,,,,,,,
210906_9,VF092921_104429,day2_trial5,Chamber1,,,Day2_Acclimation,23,26.233,5.83,14.57,119.19,0,1002
210906_9,VF092921_104429,day2_trial5,Chamber1,,,Day2_CSTone,59,129.433,28.76,35.95,47.68,0,2253
210906_9,VF092921_104429,day2_trial5,Chamber1,,,Day2_Exploration,19,32.833,7.3,7.3,46.91,0,627
,,,,,,,,,,,,,
210906_10,VF092921_104429,day2_trial5,Chamber 2,,,Day2_Acclimation,30,72.433,16.1,40.24,69.61,0,1335
210906_10,VF092921_104429,day2_trial5,Chamber 2,,,Day2_CSTone,61,189.767,42.17,52.71,14.11,0,537
210906_10,VF092921_104429,day2_trial5,Chamber 2,,,Day2_Exploration,20,46.867,10.41,10.41,23.89,0,437
,,,,,,,,,,,,,
210906_11,VF092921_105501,day2_trial6,Chamber1,,,Day2_Acclimation,1,0.533,0.12,0.3,193.35,0,1177
210906_11,VF092921_105501,day2_trial6,Chamber1,,,Day2_CSTone,42,38.767,8.61,10.77,113.93,0,1046
210906_11,VF092921_105501,day2_trial6,Chamber1,,,Day2_Exploration,6,4.3,0.96,0.96,115.79,0,1046
,,,,,,,,,,,,,
210906_12,VF092921_105501,day2_trial6,Chamber 2,,,Day2_Acclimation,9,18.5,4.11,10.28,131.89,0,1516
210906_12,VF092921_105501,day2_trial6,Chamber 2,,,Day2_CSTone,32,230.8,51.29,64.11,13.31,0,3300
210906_12,VF092921_105501,day2_trial6,Chamber 2,,,Day2_Exploration,19,81.8,18.18,18.18,3.53,0,206
,,,,,,,,,,,,,
